LA Clippers,Dallas,time_rem
3-3,3-3,48M 0S
0,2,47M 39S
3,2,47M 18S
3,5,47M 0S
3,6,46M 27S
3,7,46M 27S
5,7,44M 52S
8,7,44M 19S
8,9,44M 3S
10,9,43M 45S
10,11,43M 26S
10,14,43M 7S
12,14,42M 44S
12,17,42M 33S
14,17,42M 23S
15,17,42M 23S
15,19,42M 5S
17,19,41M 26S
17,21,40M 37S
19,21,40M 29S
19,22,40M 9S
19,23,40M 9S
19,24,40M 9S
22,24,39M 51S
22,26,39M 31S
24,26,39M 20S
26,26,38M 15S
26,28,37M 48S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 19S
27,30,35M 6S
27,32,34M 46S
29,32,34M 34S
29,35,33M 48S
30,35,33M 33S
30,37,32M 52S
30,38,31M 3S
30,39,31M 3S
32,39,30M 48S
34,39,30M 13S
34,41,30M 4S
Jump ball: P. George vs. W. Cauley,Stein (R. Jackson gains possession),29M 45S
37,41,29M 43S
38,41,29M 17S
39,41,28M 58S
40,41,28M 58S
42,41,27M 12S
42,43,27M 1S
42,45,26M 11S
43,45,25M 48S
44,45,25M 48S
46,45,24M 39S
48,45,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,45,23M 23S
50,45,23M 23S
50,46,23M 7S
50,47,23M 7S
52,47,22M 33S
52,49,22M 21S
52,51,21M 44S
52,53,21M 27S
54,53,21M 4S
54,55,20M 44S
54,58,20M 15S
55,58,20M 3S
55,60,19M 49S
58,60,19M 33S
58,62,19M 19S
60,62,19M 6S
60,65,18M 51S
60,67,18M 31S
62,67,17M 47S
65,67,17M 13S
66,67,15M 27S
67,67,15M 27S
68,67,15M 27S
71,67,14M 55S
71,70,14M 43S
71,72,14M 7S
73,72,13M 33S
73,75,13M 15S
73,77,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,77,11M 33S
77,77,10M 46S
78,77,10M 10S
79,77,10M 10S
79,78,9M 59S
79,79,9M 59S
82,79,9M 6S
82,82,8M 22S
84,82,7M 56S
84,84,7M 36S
84,85,7M 36S
86,85,6M 7S
88,85,5M 37S
90,85,5M 3S
90,88,4M 41S
92,88,3M 4S
95,88,2M 20S
95,90,2M 7S
98,90,1M 41S
99,90,1M 0S
100,90,1M 0S
100,92,51S
101,92,44S
102,92,44S
102,94,38S
103,94,29S
103,97,22S
104,97,16S
End of 4th quarter,NA,0S
