Minnesota,Phoenix,time_rem
10-31,26-13,48M 0S
2,0,47M 49S
2,1,46M 44S
2,2,46M 44S
4,2,46M 29S
4,4,45M 37S
4,6,45M 14S
4,8,44M 52S
6,8,44M 29S
6,9,43M 17S
6,10,43M 17S
9,10,42M 52S
11,10,42M 36S
11,12,42M 23S
13,12,41M 44S
15,12,41M 16S
15,14,40M 51S
17,14,40M 34S
19,14,39M 44S
19,17,38M 58S
19,19,38M 18S
22,19,38M 9S
23,19,37M 44S
24,19,36M 35S
25,19,36M 35S
25,22,36M 29S
25,25,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,27,35M 42S
25,29,35M 1S
28,29,34M 17S
30,29,33M 50S
30,32,33M 29S
33,32,33M 18S
33,34,33M 2S
35,34,32M 11S
35,37,31M 58S
35,38,31M 23S
35,39,31M 23S
38,39,30M 31S
38,41,30M 7S
38,43,29M 35S
41,43,29M 15S
42,43,28M 5S
43,43,28M 5S
45,43,27M 31S
45,45,27M 13S
45,48,26M 47S
47,48,26M 21S
47,51,26M 7S
48,51,25M 58S
49,51,25M 58S
49,53,25M 22S
49,55,25M 6S
49,56,25M 6S
51,56,24M 50S
53,56,24M 10S
53,57,24M 2S
53,58,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,61,23M 17S
53,63,22M 40S
55,63,22M 30S
55,65,22M 0S
55,67,21M 36S
57,67,20M 51S
57,70,20M 33S
59,70,20M 16S
60,70,20M 16S
60,72,19M 59S
61,72,19M 45S
61,74,19M 31S
61,76,19M 11S
63,76,18M 52S
64,76,18M 52S
64,78,18M 40S
65,78,18M 26S
66,78,18M 26S
66,80,18M 11S
68,80,18M 1S
70,80,17M 40S
72,80,17M 3S
72,81,16M 57S
74,81,16M 5S
74,82,15M 43S
74,83,15M 43S
75,83,15M 30S
75,86,15M 5S
77,86,14M 30S
79,86,13M 25S
79,88,13M 11S
80,88,12M 57S
82,88,12M 23S
83,88,12M 23S
83,91,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,94,11M 28S
85,94,11M 13S
85,96,10M 21S
87,96,9M 40S
88,96,9M 40S
90,96,9M 6S
90,99,8M 45S
93,99,8M 22S
96,99,7M 53S
96,101,7M 35S
98,101,7M 18S
98,104,6M 26S
101,104,6M 11S
101,107,5M 41S
103,107,5M 18S
104,107,5M 18S
107,107,4M 49S
107,109,4M 36S
109,109,4M 20S
110,109,4M 20S
110,111,4M 5S
113,111,3M 52S
113,113,2M 57S
115,113,2M 36S
115,114,1M 56S
116,114,1M 47S
117,114,1M 47S
117,116,1M 30S
118,116,1M 10S
119,116,1M 10S
120,116,39S
120,118,29S
121,118,8S
121,119,7S
123,119,4S
End of 4th quarter,NA,0S
