Portland,Orlando,time_rem
27-18,15-30,48M 0S
0,2,47M 45S
1,2,47M 15S
1,4,47M 2S
1,7,46M 42S
3,7,46M 32S
5,7,46M 7S
5,9,45M 46S
5,10,45M 17S
5,11,45M 17S
8,11,45M 1S
8,12,44M 44S
8,13,44M 44S
10,13,44M 24S
10,15,43M 43S
13,15,43M 30S
13,18,42M 54S
14,18,42M 43S
17,18,42M 20S
17,21,41M 59S
19,21,41M 43S
19,24,41M 30S
20,24,41M 19S
21,24,41M 19S
21,26,41M 8S
23,26,40M 52S
23,28,40M 8S
26,28,38M 43S
26,30,38M 23S
28,30,37M 52S
30,30,37M 30S
32,30,36M 59S
32,32,36M 41S
35,32,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,34,35M 25S
37,34,35M 3S
40,34,34M 9S
43,34,33M 33S
43,35,33M 22S
43,36,33M 22S
43,38,32M 56S
45,38,32M 39S
45,40,32M 20S
46,40,31M 38S
49,40,30M 31S
49,42,30M 4S
51,42,29M 22S
52,42,29M 22S
52,45,28M 53S
55,45,28M 4S
58,45,27M 40S
58,48,26M 53S
59,48,25M 56S
60,48,25M 56S
60,50,25M 45S
60,53,25M 37S
61,53,25M 1S
62,53,25M 1S
62,54,24M 45S
62,55,24M 45S
65,55,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,57,22M 51S
67,57,22M 33S
67,60,22M 7S
70,60,21M 44S
70,62,20M 53S
73,62,20M 38S
73,65,19M 38S
73,67,18M 53S
73,69,17M 59S
73,71,16M 59S
73,73,16M 10S
76,73,15M 46S
76,75,14M 2S
78,75,13M 38S
78,77,13M 22S
80,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,79,11M 39S
82,79,11M 8S
82,81,10M 54S
84,81,10M 39S
84,83,10M 21S
87,83,10M 4S
87,86,9M 45S
89,86,9M 0S
90,86,8M 26S
91,86,8M 26S
91,88,8M 13S
94,88,7M 49S
94,91,6M 59S
94,94,6M 31S
97,94,5M 42S
99,94,5M 5S
101,94,4M 49S
101,95,4M 41S
101,97,4M 9S
103,97,3M 53S
103,99,3M 38S
106,99,3M 1S
106,101,2M 20S
108,101,1M 15S
108,103,1M 2S
110,103,39S
110,105,31S
111,105,26S
112,105,26S
End of 4th quarter,NA,0S
