Atlanta,Milwaukee,time_rem
1-1,1-1,48M 0S
0,0,47M 49S
0,2,47M 2S
0,4,46M 40S
2,4,45M 49S
2,7,45M 33S
3,7,44M 42S
3,9,43M 56S
3,12,43M 15S
4,12,42M 36S
5,12,42M 36S
8,12,41M 47S
8,15,41M 32S
10,15,41M 18S
12,15,40M 59S
12,18,40M 41S
12,20,40M 22S
14,20,39M 53S
14,21,39M 24S
14,24,39M 7S
16,24,38M 50S
16,26,38M 43S
18,26,38M 19S
20,26,37M 56S
20,29,37M 39S
23,29,37M 30S
26,29,37M 9S
26,32,36M 53S
27,32,36M 46S
28,32,36M 46S
28,34,36M 6S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,36,35M 39S
28,38,35M 1S
30,38,34M 46S
32,38,34M 28S
32,41,34M 8S
32,43,33M 14S
35,43,32M 53S
35,45,32M 38S
35,47,32M 27S
35,49,31M 49S
38,49,31M 19S
38,51,30M 39S
40,51,30M 25S
40,53,29M 44S
40,55,29M 14S
40,57,28M 47S
40,60,28M 23S
40,62,28M 3S
40,64,27M 33S
40,65,27M 8S
40,66,27M 8S
40,69,26M 26S
40,71,26M 7S
42,71,25M 44S
42,73,25M 24S
42,74,25M 1S
45,74,24M 32S
45,76,24M 13S
45,77,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,79,23M 28S
45,80,23M 28S
47,80,23M 6S
47,82,22M 12S
49,82,21M 51S
49,85,21M 40S
49,87,21M 23S
51,87,20M 57S
Jump ball: B. Lopez vs. C. Capela (G. Antetokounmpo gains possession),NA,20M 29S
54,87,20M 3S
57,87,19M 47S
57,89,19M 20S
57,92,18M 21S
59,92,17M 37S
59,94,17M 14S
59,96,14M 54S
59,99,14M 15S
61,99,13M 58S
61,100,13M 18S
63,100,12M 58S
63,103,12M 40S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
64,103,11M 27S
64,105,11M 15S
66,105,10M 32S
66,106,10M 14S
68,106,9M 51S
69,106,9M 25S
70,106,9M 25S
70,109,9M 2S
73,109,8M 50S
73,111,8M 40S
73,112,8M 40S
73,114,7M 54S
74,114,6M 27S
75,114,6M 27S
77,114,6M 2S
77,116,5M 45S
77,118,5M 18S
79,118,5M 10S
79,120,4M 45S
81,120,4M 29S
83,120,4M 0S
84,120,3M 3S
85,120,3M 3S
86,120,2M 46S
87,120,2M 46S
87,122,2M 27S
89,122,1M 13S
89,124,1M 0S
89,125,36S
91,125,24S
End of 4th quarter,NA,0S
