Indiana,Boston,time_rem
15-16,16-17,48M 0S
0,0,47M 44S
3,0,47M 15S
6,0,46M 40S
9,0,46M 6S
11,0,45M 44S
12,0,45M 44S
12,2,45M 34S
12,3,44M 54S
12,4,44M 0S
15,4,43M 37S
18,4,43M 5S
18,5,42M 48S
18,6,42M 48S
18,9,42M 23S
18,10,41M 43S
18,11,41M 43S
20,11,41M 26S
20,14,41M 14S
20,15,41M 0S
20,16,41M 0S
20,19,40M 24S
22,19,40M 11S
22,21,39M 56S
25,21,39M 33S
25,23,39M 20S
25,24,39M 5S
25,25,39M 5S
26,25,38M 44S
27,25,38M 44S
28,25,37M 51S
29,25,37M 51S
29,26,37M 41S
29,28,37M 27S
30,28,37M 12S
31,28,37M 12S
31,30,36M 51S
31,32,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,32,35M 40S
34,34,34M 57S
35,34,34M 17S
36,34,34M 17S
36,37,33M 58S
36,39,33M 33S
39,39,33M 17S
39,40,33M 11S
39,41,33M 11S
39,43,32M 51S
41,43,32M 39S
41,45,32M 13S
44,45,31M 52S
44,47,31M 24S
46,47,30M 56S
46,48,30M 45S
46,49,30M 45S
48,49,30M 20S
48,51,29M 50S
49,51,29M 28S
49,53,29M 8S
49,54,28M 28S
49,55,28M 28S
52,55,27M 52S
52,57,27M 3S
54,57,26M 53S
54,59,26M 36S
56,59,25M 28S
57,59,25M 4S
58,59,25M 4S
60,59,24M 41S
60,61,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,63,23M 10S
63,63,22M 32S
63,65,22M 9S
63,67,21M 17S
64,67,21M 8S
65,67,21M 8S
65,70,20M 57S
67,70,20M 46S
67,72,20M 24S
67,74,19M 42S
67,77,19M 7S
69,77,18M 37S
72,77,17M 58S
72,79,16M 58S
73,79,16M 31S
74,79,16M 31S
77,79,15M 48S
77,82,15M 30S
78,82,15M 2S
78,84,14M 42S
80,84,14M 31S
80,86,14M 18S
80,87,14M 18S
82,87,13M 28S
82,89,13M 3S
84,89,12M 37S
84,92,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,92,11M 27S
86,92,11M 27S
86,94,11M 7S
88,94,10M 26S
88,95,10M 15S
88,96,10M 15S
Jump ball: R. Williams vs. M. Turner (J. Teague gains possession),NA,9M 31S
88,98,9M 21S
90,98,9M 6S
91,98,9M 6S
93,98,8M 35S
94,98,8M 35S
97,98,8M 14S
97,100,7M 53S
97,102,7M 13S
97,104,6M 45S
99,104,6M 30S
101,104,6M 0S
101,106,5M 42S
101,108,4M 28S
101,110,3M 47S
102,110,3M 37S
103,110,3M 37S
103,111,2M 48S
103,112,2M 48S
104,112,2M 33S
105,112,2M 33S
106,112,2M 7S
107,112,2M 7S
109,112,1M 23S
109,115,36S
112,115,25S
112,116,11S
112,117,11S
112,118,2S
End of 4th quarter,NA,0S
