Minnesota,LA Clippers,time_rem
2-2,3-1,48M 0S
0,0,47M 42S
1,0,47M 33S
2,0,47M 33S
4,0,47M 16S
4,2,47M 0S
6,2,46M 42S
7,2,45M 48S
8,2,45M 48S
8,4,45M 3S
11,4,44M 50S
11,7,44M 30S
14,7,44M 8S
16,7,43M 38S
16,8,43M 23S
16,9,43M 23S
18,9,43M 1S
18,12,42M 42S
20,12,42M 8S
20,14,41M 55S
20,16,40M 57S
22,16,40M 44S
22,17,40M 18S
22,18,40M 18S
25,18,39M 54S
25,20,39M 30S
25,23,39M 10S
25,24,38M 49S
25,25,38M 49S
25,27,37M 55S
28,27,37M 36S
28,30,37M 20S
29,30,36M 33S
29,33,36M 16S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,33,35M 21S
31,35,35M 6S
31,37,34M 41S
33,37,34M 25S
33,39,34M 11S
36,39,33M 52S
39,39,33M 39S
39,42,33M 11S
39,44,32M 48S
39,45,32M 28S
39,46,32M 28S
39,49,32M 8S
39,51,31M 40S
41,51,31M 28S
41,53,30M 40S
41,55,30M 16S
44,55,29M 41S
44,56,29M 26S
44,57,29M 26S
44,59,28M 58S
44,61,28M 20S
44,64,27M 56S
46,64,27M 32S
46,66,27M 12S
46,68,26M 52S
47,68,26M 35S
48,68,26M 35S
50,68,26M 15S
50,70,25M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,70,23M 44S
52,72,23M 6S
55,72,22M 31S
55,73,22M 17S
55,74,22M 17S
55,77,21M 58S
58,77,21M 42S
58,80,21M 15S
58,82,20M 57S
61,82,20M 13S
61,85,18M 59S
63,85,18M 38S
64,85,18M 38S
64,88,18M 28S
64,91,17M 54S
64,94,17M 19S
66,94,16M 53S
68,94,16M 16S
68,96,15M 18S
68,98,14M 56S
68,99,14M 56S
71,99,14M 48S
74,99,14M 25S
74,101,14M 15S
74,103,13M 39S
76,103,12M 53S
76,105,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,107,11M 51S
77,107,11M 17S
78,107,11M 17S
78,109,10M 30S
80,109,10M 11S
80,111,9M 55S
82,111,9M 29S
83,111,8M 58S
84,111,8M 58S
84,114,8M 45S
86,114,8M 24S
88,114,6M 22S
88,116,5M 10S
90,116,4M 57S
90,118,4M 40S
92,118,4M 26S
94,118,3M 31S
95,118,3M 31S
98,118,2M 9S
98,121,1M 51S
99,121,1M 36S
99,123,1M 15S
99,124,58S
101,124,50S
End of 4th quarter,NA,0S
