Milwaukee,Oklahoma City,time_rem
16-11,11-15,48M 0S
2,0,47M 47S
4,0,47M 20S
6,0,46M 56S
8,0,45M 38S
8,1,44M 53S
10,1,44M 29S
10,3,44M 11S
13,3,43M 39S
13,6,43M 17S
13,8,43M 5S
13,11,42M 38S
13,13,41M 44S
13,15,40M 44S
13,17,40M 20S
14,17,40M 11S
15,17,40M 11S
17,17,39M 49S
18,17,39M 49S
20,17,37M 57S
20,18,37M 48S
20,20,37M 16S
22,20,37M 1S
24,20,36M 50S
24,22,36M 39S
24,24,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,26,35M 44S
24,28,35M 15S
26,28,34M 14S
26,30,30M 52S
26,33,30M 16S
28,33,29M 20S
28,35,29M 3S
31,35,28M 8S
31,37,27M 50S
31,39,27M 21S
33,39,27M 5S
33,42,26M 27S
35,42,25M 45S
36,42,25M 45S
36,45,25M 32S
39,45,25M 20S
39,48,25M 8S
39,50,24M 53S
41,50,24M 36S
41,52,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,52,23M 32S
44,54,22M 56S
44,55,22M 56S
46,55,22M 39S
46,57,22M 27S
48,57,22M 11S
48,59,21M 55S
50,59,21M 46S
50,62,21M 33S
53,62,21M 22S
53,65,21M 9S
55,65,20M 46S
55,67,20M 10S
58,67,19M 32S
58,69,18M 32S
60,69,17M 27S
61,69,17M 27S
63,69,16M 48S
Jump ball: G. Antetokounmpo vs. H. Diallo (P. Connaughton gains possession),NA,16M 17S
65,69,16M 5S
65,71,15M 59S
65,73,15M 39S
68,73,15M 28S
71,73,14M 57S
71,76,14M 40S
73,76,14M 26S
73,79,14M 8S
75,79,13M 51S
78,79,13M 28S
80,79,13M 0S
81,79,12M 32S
81,81,12M 21S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,81,11M 44S
84,83,11M 18S
86,83,11M 6S
86,86,10M 39S
86,89,10M 6S
89,89,9M 28S
89,90,9M 8S
89,92,8M 48S
89,94,8M 1S
91,94,7M 23S
91,96,7M 5S
93,96,6M 52S
93,98,6M 32S
93,101,6M 17S
96,101,5M 36S
98,101,5M 1S
98,104,4M 16S
101,104,4M 4S
101,106,3M 47S
103,106,3M 36S
105,106,2M 17S
105,107,2M 0S
105,108,2M 0S
105,109,41S
107,109,36S
107,112,14S
107,113,9S
107,114,9S
109,114,2S
End of 4th quarter,NA,0S
