Utah,New Orleans,time_rem
27-8,15-19,48M 0S
0,2,47M 40S
0,4,46M 59S
3,4,46M 39S
3,6,46M 26S
3,8,45M 29S
5,8,45M 1S
5,11,44M 44S
7,11,44M 2S
10,11,42M 49S
10,13,42M 24S
10,14,41M 58S
13,14,40M 59S
13,16,40M 31S
16,16,40M 24S
16,18,40M 11S
16,20,39M 28S
18,20,38M 55S
18,22,38M 35S
20,22,38M 19S
20,24,37M 42S
23,24,37M 24S
23,26,36M 59S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,26,35M 23S
25,26,35M 23S
26,26,35M 23S
29,26,34M 57S
29,28,34M 42S
32,28,34M 30S
32,30,34M 18S
34,30,34M 7S
34,32,33M 51S
37,32,33M 40S
37,35,33M 24S
37,36,33M 24S
39,36,33M 12S
39,38,32M 38S
41,38,32M 21S
41,40,32M 9S
43,40,31M 57S
44,40,31M 12S
45,40,31M 12S
47,40,30M 42S
47,42,30M 21S
50,42,29M 38S
50,44,29M 24S
53,44,29M 10S
53,45,28M 56S
53,47,28M 39S
53,49,28M 19S
53,51,27M 44S
55,51,27M 19S
55,54,27M 9S
58,54,26M 58S
60,54,26M 41S
62,54,26M 4S
62,56,25M 20S
64,56,24M 42S
64,59,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,61,23M 37S
66,61,23M 21S
66,62,23M 5S
66,63,23M 5S
69,63,22M 41S
69,65,22M 35S
69,67,22M 0S
71,67,21M 36S
71,69,21M 15S
73,69,19M 58S
73,71,19M 43S
73,73,19M 16S
75,73,18M 59S
75,74,18M 42S
75,75,18M 42S
77,75,18M 8S
77,77,17M 48S
79,77,17M 36S
79,79,17M 16S
79,82,16M 52S
79,83,16M 6S
79,84,16M 6S
79,86,15M 37S
79,88,15M 12S
79,89,15M 12S
81,89,14M 56S
81,91,14M 41S
81,93,13M 44S
84,93,13M 29S
84,95,13M 2S
84,96,12M 41S
84,97,12M 41S
86,97,12M 31S
86,99,12M 18S
88,99,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,101,11M 32S
88,103,11M 3S
90,103,10M 47S
90,106,10M 6S
90,107,10M 6S
93,107,9M 51S
93,109,9M 35S
95,109,9M 10S
96,109,9M 10S
96,110,8M 55S
96,111,8M 55S
98,111,8M 43S
98,113,7M 42S
100,113,7M 37S
100,115,7M 12S
103,115,7M 7S
103,117,6M 42S
105,117,6M 1S
105,119,5M 44S
106,119,5M 16S
108,119,4M 43S
108,122,3M 54S
109,122,3M 41S
110,122,3M 41S
Jump ball: R. Gobert vs. Z. Williamson (R. O'Neale gains possession),NA,2M 51S
111,122,2M 43S
112,122,2M 43S
115,122,2M 24S
115,124,2M 1S
117,124,1M 47S
118,124,1M 36S
119,124,1M 36S
119,125,1M 28S
120,125,1M 18S
121,125,1M 18S
124,125,47S
124,126,29S
124,127,29S
124,129,12S
End of 4th quarter,NA,0S
