Sacramento,New York,time_rem
12-20,16-17,48M 0S
0,2,47M 47S
3,2,47M 30S
3,4,46M 25S
3,7,45M 40S
5,7,45M 21S
5,9,45M 10S
5,11,44M 52S
8,11,43M 59S
8,13,43M 33S
8,16,43M 17S
9,16,42M 59S
10,16,42M 59S
13,16,42M 30S
15,16,42M 7S
16,16,42M 7S
18,16,41M 46S
19,16,41M 24S
19,18,41M 2S
19,20,40M 41S
19,22,40M 17S
22,22,40M 3S
22,24,39M 42S
24,24,39M 19S
24,26,39M 5S
24,28,38M 28S
25,28,38M 6S
25,30,37M 43S
25,32,37M 20S
27,32,37M 8S
29,32,36M 40S
29,33,36M 33S
29,34,36M 33S
29,37,36M 1S
29,38,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,38,35M 41S
31,40,35M 7S
34,40,34M 53S
34,43,34M 20S
36,43,34M 2S
38,43,33M 39S
39,43,33M 39S
39,45,33M 29S
40,45,33M 17S
42,45,32M 49S
42,48,32M 37S
45,48,32M 15S
45,49,32M 0S
45,50,32M 0S
45,51,31M 41S
45,52,31M 41S
45,53,31M 41S
45,55,31M 10S
45,56,30M 9S
45,57,30M 9S
47,57,29M 28S
48,57,29M 28S
48,59,29M 16S
48,61,28M 47S
50,61,27M 41S
50,63,27M 22S
51,63,27M 14S
53,63,26M 53S
53,65,26M 38S
55,65,26M 22S
55,68,26M 4S
57,68,25M 50S
57,71,25M 33S
60,71,25M 13S
60,74,24M 42S
60,77,24M 6S
61,77,24M 1S
62,77,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,78,23M 36S
64,78,23M 14S
64,80,22M 57S
67,80,21M 48S
67,83,21M 35S
70,83,21M 18S
70,84,21M 6S
70,85,21M 6S
70,88,20M 32S
72,88,20M 23S
72,90,18M 59S
73,90,18M 40S
74,90,18M 40S
76,90,18M 15S
76,92,17M 56S
79,92,17M 31S
81,92,16M 56S
82,92,16M 56S
82,94,16M 39S
82,96,16M 17S
84,96,15M 8S
84,97,14M 48S
86,97,14M 27S
87,97,14M 27S
89,97,13M 44S
90,97,13M 26S
91,97,13M 26S
92,97,13M 26S
92,98,13M 13S
92,99,13M 13S
92,101,12M 50S
94,101,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,103,11M 49S
94,105,11M 9S
96,105,10M 45S
96,107,10M 29S
97,107,10M 12S
99,107,9M 29S
99,110,9M 9S
99,111,8M 51S
99,112,8M 51S
99,115,8M 14S
101,115,7M 56S
101,118,7M 37S
101,121,7M 16S
103,121,6M 59S
105,121,6M 21S
108,121,5M 52S
108,124,5M 22S
108,127,4M 46S
109,127,4M 31S
110,127,4M 31S
110,130,4M 19S
110,132,4M 1S
111,132,3M 46S
111,134,2M 23S
113,134,2M 9S
113,136,1M 47S
114,136,1M 22S
114,137,1M 10S
117,137,1M 2S
118,137,42S
119,137,42S
119,140,33S
121,140,10S
End of 4th quarter,NA,0S
