Toronto,Chicago,time_rem
17-22,17-20,48M 0S
0,0,47M 42S
0,1,46M 15S
0,2,46M 15S
0,4,45M 49S
1,4,45M 43S
2,4,45M 43S
3,4,45M 22S
4,4,45M 22S
4,5,45M 14S
4,6,45M 14S
6,6,44M 37S
6,8,44M 25S
6,10,43M 56S
7,10,43M 23S
8,10,43M 23S
11,10,42M 50S
14,10,42M 25S
14,12,42M 7S
14,14,41M 49S
14,16,41M 33S
17,16,41M 13S
19,16,40M 34S
19,19,40M 17S
19,21,38M 52S
19,23,38M 27S
19,24,38M 27S
19,26,38M 1S
22,26,36M 39S
22,28,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,30,35M 10S
25,30,34M 54S
27,30,34M 31S
28,30,34M 11S
28,33,33M 41S
30,33,33M 16S
30,35,32M 52S
30,36,32M 52S
32,36,32M 1S
32,39,30M 54S
32,42,30M 11S
34,42,29M 54S
34,44,29M 14S
34,45,29M 14S
37,45,28M 35S
39,45,28M 7S
39,47,27M 51S
41,47,27M 38S
41,49,27M 25S
44,49,27M 9S
47,49,26M 36S
47,52,26M 22S
47,54,25M 19S
47,56,24M 58S
47,58,24M 27S
49,58,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,58,23M 42S
51,60,23M 29S
51,62,22M 16S
54,62,22M 4S
54,64,21M 10S
54,67,20M 55S
56,67,20M 12S
56,69,19M 53S
59,69,17M 29S
59,71,16M 58S
61,71,16M 42S
61,73,16M 12S
61,74,15M 28S
61,75,15M 28S
62,75,15M 15S
64,75,14M 52S
64,76,14M 47S
66,76,14M 33S
66,77,14M 24S
66,78,14M 24S
67,78,14M 12S
68,78,14M 12S
68,79,13M 59S
68,80,13M 59S
69,80,13M 46S
70,80,13M 46S
71,80,13M 11S
71,82,12M 58S
73,82,12M 47S
73,85,12M 32S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,85,11M 48S
75,87,11M 30S
77,87,11M 6S
77,90,9M 41S
78,90,9M 26S
78,93,8M 42S
78,96,8M 15S
81,96,8M 1S
83,96,7M 23S
85,96,6M 45S
85,98,6M 30S
85,99,5M 57S
85,100,5M 57S
85,102,5M 31S
87,102,5M 20S
88,102,4M 42S
88,104,4M 21S
90,104,4M 11S
90,106,3M 45S
92,106,3M 32S
92,108,3M 0S
92,111,2M 43S
92,112,2M 39S
95,112,2M 25S
95,115,2M 4S
95,116,1M 12S
95,118,37S
End of 4th quarter,NA,0S
