Cleveland,Brooklyn,time_rem
22-50,48-24,48M 0S
0,0,47M 45S
0,3,47M 23S
2,3,47M 10S
2,5,46M 57S
4,5,46M 44S
4,7,46M 26S
4,9,45M 56S
4,12,45M 33S
4,14,45M 3S
4,17,44M 11S
6,17,43M 54S
6,18,42M 28S
7,18,42M 14S
7,20,42M 4S
7,23,41M 43S
8,23,40M 57S
11,23,40M 30S
11,25,40M 13S
11,28,39M 30S
13,28,39M 9S
14,28,39M 9S
14,31,38M 57S
16,31,38M 38S
18,31,37M 25S
20,31,36M 55S
22,31,36M 26S
22,34,36M 6S
23,34,36M 1S
24,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,34,35M 30S
26,36,35M 19S
26,37,35M 4S
26,38,35M 4S
28,38,33M 43S
30,38,33M 8S
30,40,32M 22S
33,40,31M 57S
33,42,31M 44S
33,43,31M 21S
34,43,31M 5S
35,43,31M 5S
35,45,30M 52S
38,45,30M 42S
38,47,30M 23S
40,47,30M 11S
41,47,30M 11S
41,49,30M 1S
41,52,29M 28S
43,52,28M 31S
43,54,28M 12S
46,54,27M 52S
46,57,27M 35S
49,57,27M 13S
51,57,26M 39S
51,59,26M 22S
51,61,26M 4S
53,61,25M 54S
53,63,25M 17S
56,63,24M 58S
56,65,24M 36S
56,67,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,68,23M 16S
56,69,23M 16S
57,69,23M 1S
58,69,23M 1S
58,71,22M 45S
60,71,22M 19S
60,72,22M 0S
60,73,22M 0S
63,73,21M 13S
63,75,20M 55S
66,75,20M 45S
66,78,20M 28S
66,80,19M 48S
67,80,19M 34S
68,80,19M 34S
68,82,18M 50S
70,82,18M 37S
70,83,18M 11S
70,84,18M 11S
70,85,17M 40S
70,87,17M 18S
70,90,16M 37S
72,90,15M 54S
72,91,15M 32S
72,92,15M 32S
72,95,15M 12S
72,97,13M 26S
73,97,13M 14S
74,97,13M 14S
76,97,12M 37S
76,99,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,99,11M 47S
78,99,11M 47S
81,99,11M 5S
81,101,10M 51S
83,101,10M 7S
83,104,9M 46S
84,104,9M 29S
84,107,9M 20S
84,109,8M 49S
86,109,8M 27S
87,109,7M 23S
88,109,7M 23S
90,109,7M 7S
92,109,6M 13S
93,109,6M 13S
93,111,6M 0S
96,111,5M 44S
96,114,5M 32S
96,116,5M 14S
99,116,4M 8S
101,116,3M 19S
104,116,2M 18S
106,116,1M 49S
106,118,1M 22S
108,118,1M 9S
108,121,49S
109,121,35S
109,123,12S
End of 4th quarter,NA,0S
