Oklahoma City,Denver,time_rem
10-15,14-11,48M 0S
2,0,47M 37S
3,0,47M 12S
6,0,46M 42S
6,2,46M 15S
8,2,45M 48S
10,2,44M 47S
10,4,44M 30S
13,4,43M 58S
13,6,43M 41S
13,8,43M 10S
15,8,42M 49S
15,10,42M 10S
17,10,41M 25S
17,13,41M 7S
18,13,39M 28S
18,16,39M 10S
20,16,38M 12S
22,16,37M 24S
24,16,36M 49S
26,16,36M 31S
28,16,36M 22S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,16,35M 28S
30,18,35M 9S
30,20,34M 32S
32,20,33M 23S
34,20,32M 36S
34,22,31M 38S
37,22,31M 9S
37,24,30M 55S
39,24,30M 36S
39,26,30M 18S
39,29,29M 29S
40,29,28M 49S
41,29,28M 49S
44,29,28M 7S
47,29,27M 30S
47,31,27M 20S
50,31,26M 50S
50,34,26M 36S
50,36,26M 15S
52,36,26M 0S
53,36,26M 0S
53,38,25M 15S
53,40,24M 47S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,42,23M 47S
55,42,23M 3S
55,43,22M 38S
55,44,22M 38S
55,46,22M 2S
58,46,21M 52S
61,46,21M 20S
61,49,21M 9S
63,49,20M 42S
63,51,20M 3S
66,51,19M 46S
66,53,19M 27S
66,56,18M 52S
68,56,18M 33S
68,58,18M 15S
68,60,17M 15S
70,60,16M 58S
70,62,16M 51S
70,64,16M 13S
72,64,15M 52S
72,66,14M 42S
73,66,14M 21S
75,66,12M 38S
76,66,12M 38S
76,67,12M 16S
79,67,12M 3S
79,70,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,72,11M 40S
81,72,10M 27S
82,72,9M 59S
82,74,9M 16S
82,77,8M 27S
82,79,8M 3S
83,79,7M 47S
83,81,7M 27S
85,81,6M 15S
87,81,5M 50S
88,81,4M 32S
89,81,4M 32S
89,83,4M 10S
89,86,3M 19S
89,88,1M 54S
89,90,1M 21S
89,93,43S
90,93,16S
91,93,16S
91,94,8S
91,95,8S
93,95,3S
93,96,2S
93,97,2S
95,97,1S
End of 4th quarter,NA,0S
