Dallas,LA Clippers,time_rem
2-0,0-2,48M 0S
2,0,47M 46S
5,0,47M 21S
5,2,46M 25S
7,2,46M 14S
7,4,45M 58S
9,4,45M 44S
9,6,45M 30S
12,6,45M 20S
12,9,44M 35S
12,10,44M 17S
12,11,44M 17S
15,11,44M 4S
17,11,43M 12S
17,13,42M 48S
20,13,42M 31S
22,13,41M 46S
22,16,41M 13S
24,16,41M 2S
24,17,40M 52S
24,18,40M 52S
26,18,40M 30S
26,20,40M 20S
26,21,40M 20S
29,21,40M 3S
29,23,39M 51S
31,23,39M 33S
31,24,38M 30S
31,25,38M 30S
31,27,38M 7S
33,27,37M 53S
33,28,37M 41S
33,31,37M 17S
35,31,36M 54S
35,32,36M 11S
35,33,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,35,35M 43S
37,35,35M 30S
37,38,35M 10S
39,38,34M 42S
39,40,34M 26S
39,41,34M 26S
41,41,34M 7S
41,43,34M 0S
43,43,33M 51S
43,45,33M 29S
45,45,32M 45S
47,45,32M 4S
47,47,31M 54S
49,47,31M 41S
52,47,31M 9S
52,49,30M 46S
52,51,29M 57S
53,51,29M 40S
53,53,29M 22S
53,54,29M 22S
54,54,29M 17S
57,54,28M 49S
57,56,28M 34S
59,56,28M 23S
60,56,28M 23S
60,58,27M 20S
63,58,26M 46S
63,61,26M 33S
66,61,26M 20S
66,63,25M 55S
68,63,25M 29S
68,65,25M 18S
68,66,25M 18S
68,68,25M 0S
68,71,24M 34S
71,71,24M 16S
71,73,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,73,23M 29S
74,75,23M 10S
74,76,22M 39S
77,76,21M 56S
77,78,21M 43S
80,78,20M 27S
81,78,19M 15S
82,78,19M 15S
85,78,18M 53S
85,80,18M 5S
86,80,17M 49S
88,80,17M 27S
88,83,17M 13S
90,83,16M 58S
92,83,16M 11S
93,83,15M 20S
94,83,15M 20S
94,86,15M 8S
96,86,14M 29S
98,86,13M 55S
98,87,13M 35S
98,88,13M 35S
98,90,13M 6S
98,92,12M 38S
101,92,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
103,92,10M 44S
105,92,10M 9S
106,92,10M 9S
106,94,9M 59S
106,97,9M 12S
109,97,8M 52S
109,99,8M 10S
111,99,7M 54S
111,100,7M 37S
111,101,7M 37S
114,101,7M 20S
114,104,6M 30S
114,106,5M 31S
114,109,4M 49S
116,109,3M 54S
Jump ball: K. Porziņģis vs. K. Leonard (D. Finney,Smith gains possession),2M 53S
118,109,2M 37S
118,111,2M 24S
120,111,2M 3S
120,114,1M 46S
120,116,1M 24S
123,116,1M 3S
123,118,58S
124,118,21S
125,118,21S
125,121,12S
126,121,9S
127,121,9S
End of 4th quarter,NA,0S
