Memphis,LA Clippers,time_rem
29-28,42-19,48M 0S
2,0,47M 44S
3,0,47M 17S
4,0,47M 17S
4,2,47M 3S
7,2,46M 30S
10,2,46M 1S
10,3,45M 22S
10,4,44M 52S
10,5,44M 52S
12,5,44M 35S
14,5,44M 18S
14,7,44M 5S
14,9,43M 35S
16,9,43M 23S
18,9,43M 1S
21,9,42M 27S
21,11,42M 3S
24,11,41M 43S
24,13,41M 22S
26,13,40M 42S
28,13,39M 55S
28,16,39M 31S
29,16,39M 0S
30,16,39M 0S
30,18,38M 40S
33,18,38M 33S
36,18,38M 5S
36,20,37M 41S
38,20,37M 21S
38,23,37M 2S
38,24,36M 30S
39,24,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,24,35M 23S
41,26,35M 8S
43,26,34M 54S
43,29,34M 31S
45,29,34M 6S
45,31,33M 50S
45,34,31M 52S
48,34,31M 39S
48,36,31M 12S
50,36,30M 59S
52,36,30M 18S
52,38,30M 4S
52,40,29M 39S
55,40,29M 28S
55,41,28M 31S
55,42,28M 31S
58,42,27M 42S
58,43,27M 32S
58,44,27M 8S
58,45,27M 8S
58,48,26M 47S
60,48,26M 23S
60,50,25M 58S
60,51,25M 13S
60,53,24M 26S
62,53,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,56,23M 2S
62,58,22M 29S
63,58,21M 49S
65,58,21M 26S
65,60,20M 50S
66,60,20M 39S
66,61,20M 22S
68,61,19M 59S
68,64,19M 39S
71,64,19M 20S
71,67,18M 59S
73,67,18M 42S
73,68,18M 0S
73,69,18M 0S
73,70,18M 0S
74,70,17M 22S
75,70,17M 22S
75,72,16M 54S
75,73,15M 38S
75,74,15M 38S
75,75,15M 38S
75,76,15M 17S
75,77,15M 17S
77,77,14M 57S
77,78,14M 47S
80,78,14M 28S
80,79,13M 58S
82,79,13M 48S
82,82,13M 24S
82,84,12M 58S
82,85,12M 58S
82,87,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,87,11M 6S
86,87,9M 33S
86,90,9M 15S
88,90,7M 59S
89,90,7M 32S
89,92,7M 18S
89,94,6M 49S
91,94,6M 25S
91,95,5M 48S
91,96,5M 48S
91,97,5M 48S
93,97,5M 26S
93,98,5M 13S
93,99,5M 13S
94,99,4M 49S
95,99,4M 49S
95,101,4M 37S
96,101,4M 22S
97,101,4M 22S
97,104,4M 14S
97,106,3M 37S
97,109,3M 5S
98,109,2M 43S
99,109,2M 43S
99,112,2M 24S
99,114,1M 45S
102,114,1M 27S
102,117,1M 8S
105,117,25S
End of 4th quarter,NA,0S
