Toronto,New York,time_rem
21-33,27-27,48M 0S
0,0,47M 45S
0,2,47M 35S
0,4,46M 41S
0,6,46M 12S
1,6,46M 3S
2,6,46M 3S
2,8,45M 45S
3,8,45M 30S
4,8,45M 30S
4,10,45M 8S
6,10,44M 56S
6,11,44M 45S
6,12,43M 58S
9,12,43M 46S
9,15,43M 14S
9,17,42M 45S
11,17,42M 23S
Jump ball: C. Boucher vs. R. Barrett (G. Trent gains possession),NA,41M 36S
14,17,41M 6S
14,20,40M 11S
14,21,39M 22S
14,22,39M 22S
16,22,38M 5S
16,24,37M 50S
16,26,36M 1S
16,27,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
16,28,35M 30S
16,29,35M 30S
16,30,35M 30S
19,30,35M 16S
20,30,34M 54S
21,30,34M 54S
21,32,34M 27S
21,34,33M 44S
23,34,33M 30S
24,34,33M 6S
25,34,33M 6S
25,37,32M 57S
Jump ball: T. Gibson vs. C. Boucher (O. Toppin gains possession),NA,32M 3S
28,37,31M 30S
28,38,30M 10S
28,39,30M 10S
28,41,29M 29S
28,42,29M 29S
31,42,29M 18S
31,44,29M 3S
34,44,28M 54S
34,47,28M 0S
35,47,27M 26S
36,47,27M 26S
36,49,27M 12S
38,49,27M 0S
40,49,25M 45S
40,52,25M 33S
40,54,25M 3S
40,55,24M 13S
40,56,24M 13S
42,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,56,23M 37S
44,56,23M 37S
44,58,23M 23S
44,60,23M 2S
46,60,22M 52S
46,63,22M 31S
48,63,22M 10S
48,66,22M 1S
49,66,21M 50S
50,66,21M 50S
50,68,21M 32S
52,68,21M 18S
55,68,20M 40S
57,68,20M 11S
57,70,19M 57S
57,72,19M 33S
59,72,18M 51S
61,72,18M 28S
62,72,18M 28S
64,72,17M 28S
65,72,16M 59S
66,72,16M 59S
66,74,16M 37S
66,76,16M 9S
66,78,15M 28S
68,78,15M 17S
70,78,14M 39S
73,78,14M 2S
Jump ball: J. Randle vs. C. Boucher (D. Rose gains possession),NA,13M 39S
76,78,13M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,80,11M 51S
78,80,11M 34S
79,80,10M 50S
81,80,10M 0S
81,81,9M 40S
81,83,8M 41S
84,83,8M 19S
87,83,7M 0S
87,84,5M 48S
87,85,5M 48S
87,87,5M 18S
87,88,4M 31S
87,89,4M 31S
87,92,3M 24S
89,92,2M 57S
89,93,2M 43S
91,93,2M 18S
91,95,2M 4S
92,95,1M 53S
94,95,53S
94,98,34S
96,98,31S
96,99,9S
96,100,9S
96,101,5S
96,102,5S
End of 4th quarter,NA,0S
