Portland,Utah,time_rem
41-29,50-20,48M 0S
0,0,47M 41S
0,2,47M 5S
2,2,45M 45S
2,4,45M 28S
4,4,45M 18S
4,6,45M 9S
4,9,44M 41S
4,11,44M 25S
4,13,43M 57S
4,16,43M 25S
6,16,42M 38S
7,16,42M 9S
8,16,42M 9S
10,16,41M 33S
10,18,41M 8S
12,18,40M 51S
14,18,40M 25S
14,20,40M 8S
14,23,39M 18S
16,23,38M 26S
16,25,38M 12S
19,25,37M 58S
22,25,37M 35S
22,27,37M 22S
23,27,36M 27S
24,27,36M 27S
24,30,36M 4S
24,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,32,35M 45S
27,32,35M 1S
27,33,34M 48S
27,34,34M 48S
29,34,34M 36S
31,34,34M 1S
31,36,33M 45S
33,36,33M 28S
33,39,33M 14S
35,39,32M 51S
38,39,32M 29S
38,41,31M 53S
40,41,31M 39S
40,43,31M 27S
40,44,31M 3S
43,44,30M 55S
44,44,30M 24S
46,44,29M 55S
46,46,29M 45S
49,46,29M 15S
49,48,28M 56S
49,51,28M 28S
50,51,28M 9S
52,51,27M 32S
54,51,26M 44S
54,53,25M 47S
55,53,25M 1S
56,53,25M 1S
57,53,24M 37S
57,54,24M 31S
57,56,24M 0S
59,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,57,23M 50S
59,58,23M 50S
62,58,23M 35S
65,58,22M 57S
65,61,21M 47S
68,61,20M 40S
68,62,20M 18S
68,63,20M 18S
70,63,18M 43S
72,63,18M 14S
73,63,17M 49S
Jump ball: J. Nurkić vs. D. Favors (C. McCollum gains possession),NA,17M 24S
73,65,16M 12S
76,65,15M 52S
76,68,15M 36S
79,68,15M 22S
79,69,14M 34S
81,69,14M 21S
81,71,13M 54S
84,71,13M 32S
84,74,13M 19S
84,76,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,76,11M 45S
88,76,10M 17S
88,77,9M 56S
88,78,9M 56S
90,78,9M 0S
90,79,8M 53S
90,81,8M 16S
92,81,6M 17S
95,81,4M 49S
97,81,4M 19S
97,83,3M 54S
99,83,3M 34S
99,85,3M 22S
101,85,2M 29S
101,86,2M 18S
101,87,2M 18S
103,87,2M 2S
103,90,1M 55S
103,93,1M 28S
104,93,1M 7S
105,93,1M 7S
105,95,46S
105,98,15S
End of 4th quarter,NA,0S
