Phoenix,New Orleans,time_rem
11-9,8-12,48M 0S
0,0,47M 38S
0,3,47M 16S
Jump ball: B. Ingram vs. D. Booker (L. Ball gains possession),NA,46M 36S
0,5,46M 26S
2,5,46M 12S
2,7,45M 56S
3,7,45M 41S
3,9,45M 23S
3,10,45M 6S
3,12,44M 42S
5,12,44M 27S
7,12,44M 1S
8,12,44M 1S
8,14,43M 33S
8,16,42M 25S
10,16,41M 53S
12,16,41M 24S
15,16,41M 0S
15,17,40M 43S
15,18,40M 43S
18,18,40M 24S
18,20,40M 10S
Jump ball: E. Moore vs. N. Alexander,Walker (J. Crowder gains possession),39M 53S
20,20,39M 45S
20,22,38M 52S
21,22,37M 39S
22,22,37M 39S
22,24,37M 1S
22,26,36M 42S
25,26,36M 33S
25,28,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,28,35M 25S
27,30,35M 9S
27,32,33M 8S
28,32,32M 53S
28,35,32M 21S
30,35,31M 53S
32,35,31M 26S
33,35,31M 26S
36,35,30M 40S
36,37,29M 25S
38,37,29M 9S
40,37,28M 49S
40,38,28M 27S
40,39,28M 27S
42,39,28M 5S
42,41,27M 45S
42,43,27M 21S
44,43,26M 49S
44,45,26M 21S
44,48,25M 39S
46,48,24M 47S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,48,23M 3S
48,51,22M 47S
48,53,22M 26S
51,53,22M 11S
51,55,21M 49S
51,56,21M 31S
51,58,21M 11S
51,59,21M 10S
53,59,20M 31S
53,62,20M 21S
55,62,20M 4S
56,62,19M 36S
57,62,19M 36S
57,63,19M 20S
57,64,19M 20S
59,64,18M 44S
59,67,18M 30S
59,68,18M 1S
59,69,18M 1S
61,69,17M 39S
61,72,17M 24S
63,72,16M 25S
64,72,16M 25S
64,74,16M 4S
66,74,15M 54S
67,74,15M 27S
68,74,15M 27S
68,76,15M 9S
70,76,14M 46S
70,79,14M 28S
72,79,14M 13S
72,80,13M 53S
72,81,13M 53S
Jump ball: E. Moore vs. N. Alexander,Walker (F. Kaminsky gains possession),13M 26S
72,83,13M 8S
73,83,12M 54S
74,83,12M 54S
74,86,12M 42S
74,87,12M 20S
74,88,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,90,11M 44S
74,93,11M 7S
74,95,10M 31S
76,95,9M 43S
78,95,9M 2S
80,95,8M 38S
80,98,8M 26S
80,101,7M 56S
82,101,7M 33S
82,104,7M 19S
82,106,6M 42S
82,108,6M 10S
85,108,5M 52S
85,109,5M 33S
85,110,5M 33S
86,110,4M 42S
86,112,4M 31S
89,112,4M 16S
89,114,3M 55S
89,116,3M 20S
91,116,3M 1S
91,119,2M 45S
93,119,2M 33S
93,121,1M 50S
95,121,1M 17S
98,121,1M 3S
98,123,51S
99,123,40S
100,123,40S
101,123,11S
End of 4th quarter,NA,0S
