Boston,Washington,time_rem
13-13,7-17,48M 0S
0,0,47M 51S
2,0,47M 43S
2,2,47M 3S
2,4,46M 40S
4,4,45M 7S
4,6,44M 45S
4,7,44M 28S
4,8,44M 28S
6,8,43M 59S
6,10,43M 43S
8,10,43M 26S
8,13,42M 47S
8,15,42M 15S
10,15,42M 4S
10,17,41M 50S
11,17,41M 9S
12,17,41M 9S
12,19,40M 55S
14,19,40M 39S
17,19,40M 9S
17,22,39M 34S
20,22,38M 51S
20,24,37M 38S
22,24,37M 22S
22,25,36M 25S
22,26,36M 25S
22,29,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,31,35M 7S
24,31,34M 50S
26,31,34M 20S
28,31,33M 51S
28,32,32M 16S
28,33,32M 16S
30,33,31M 58S
30,34,31M 46S
30,35,31M 46S
30,37,31M 18S
32,37,30M 55S
32,39,30M 14S
33,39,29M 22S
33,41,29M 8S
35,41,28M 49S
35,42,28M 39S
35,43,28M 39S
38,43,28M 14S
38,44,27M 32S
38,45,27M 32S
38,47,26M 59S
38,48,26M 59S
40,48,26M 41S
41,48,26M 10S
41,51,25M 36S
43,51,25M 19S
43,53,24M 44S
43,54,24M 8S
43,55,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
43,57,23M 31S
44,57,22M 52S
45,57,22M 52S
47,57,22M 18S
47,60,22M 7S
48,60,22M 1S
49,60,22M 1S
49,62,21M 41S
49,64,21M 15S
51,64,21M 1S
51,65,20M 51S
51,66,20M 51S
53,66,20M 37S
53,68,20M 1S
53,70,19M 15S
53,71,18M 43S
53,72,18M 43S
53,74,18M 28S
53,75,18M 28S
53,77,18M 8S
56,77,17M 44S
59,77,17M 19S
61,77,16M 36S
61,78,16M 10S
63,78,15M 41S
64,78,15M 41S
64,79,15M 35S
64,80,15M 35S
64,81,15M 20S
64,82,15M 20S
64,84,13M 53S
67,84,13M 38S
67,86,13M 9S
67,87,13M 9S
67,89,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,90,11M 17S
67,91,11M 17S
68,91,10M 25S
69,91,10M 25S
69,93,10M 16S
71,93,9M 57S
71,95,9M 39S
74,95,7M 35S
74,98,7M 17S
76,98,7M 2S
76,101,6M 15S
77,101,5M 10S
78,101,4M 41S
78,102,4M 25S
78,103,4M 25S
81,103,4M 13S
81,104,3M 6S
82,104,2M 59S
83,104,2M 59S
Jump ball: T. Fall vs. T. Brown (T. Waters gains possession),NA,2M 18S
85,104,1M 39S
86,104,1M 12S
87,104,1M 5S
88,104,1M 5S
91,104,49S
End of 4th quarter,NA,0S
