Miami,Utah,time_rem
11-15,22-5,48M 0S
0,0,47M 46S
2,0,46M 40S
2,2,46M 25S
4,2,45M 16S
5,2,44M 25S
7,2,43M 48S
8,2,43M 24S
8,4,42M 39S
11,4,42M 27S
13,4,42M 7S
13,6,41M 15S
13,8,40M 43S
13,10,40M 19S
13,11,39M 53S
16,11,38M 36S
17,11,38M 19S
18,11,38M 19S
18,14,38M 7S
18,16,37M 25S
21,16,37M 6S
21,18,36M 56S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,18,35M 23S
23,20,35M 9S
26,20,34M 53S
26,22,34M 40S
29,22,34M 18S
29,25,34M 2S
31,25,33M 44S
31,27,33M 30S
Jump ball: M. Oni vs. B. Adebayo (J. Clarkson gains possession),NA,33M 16S
31,29,33M 3S
31,31,32M 24S
33,31,32M 4S
36,31,31M 45S
36,34,30M 51S
36,36,29M 32S
36,38,28M 31S
36,40,28M 5S
36,41,26M 55S
36,42,26M 0S
36,43,26M 0S
36,44,25M 42S
36,45,25M 42S
38,45,25M 25S
40,45,24M 57S
40,46,24M 44S
42,46,24M 24S
42,47,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,49,23M 28S
42,51,22M 53S
42,54,22M 30S
42,55,21M 59S
42,58,21M 0S
42,61,20M 10S
42,63,19M 46S
44,63,17M 51S
44,65,17M 34S
46,65,17M 15S
46,66,16M 42S
46,67,16M 42S
47,67,16M 32S
48,67,16M 32S
48,69,15M 40S
51,69,15M 1S
51,72,14M 42S
53,72,13M 58S
54,72,13M 35S
54,75,13M 25S
57,75,13M 0S
57,78,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
59,78,11M 37S
59,80,11M 21S
62,80,11M 10S
62,81,10M 37S
62,82,10M 37S
64,82,10M 29S
64,83,10M 11S
64,84,10M 11S
67,84,10M 4S
67,86,9M 52S
69,86,9M 1S
69,88,8M 47S
69,91,8M 20S
69,92,8M 20S
71,92,7M 9S
71,94,6M 47S
73,94,6M 36S
73,95,6M 26S
73,96,6M 26S
75,96,6M 10S
76,96,6M 10S
78,96,5M 42S
79,96,5M 26S
80,96,5M 26S
80,99,5M 14S
82,99,4M 55S
84,99,4M 29S
84,101,4M 16S
85,101,4M 4S
86,101,4M 4S
86,103,3M 42S
86,105,3M 18S
86,106,3M 18S
89,106,3M 0S
89,109,2M 24S
91,109,2M 7S
91,110,1M 55S
91,111,1M 55S
91,112,1M 55S
94,112,1M 22S
End of 4th quarter,NA,0S
