Toronto,Cleveland,time_rem
17-25,16-26,48M 0S
0,2,47M 38S
1,2,47M 22S
2,2,47M 22S
4,2,45M 42S
6,2,44M 31S
8,2,43M 23S
8,5,42M 42S
8,7,42M 21S
8,9,41M 50S
11,9,41M 11S
11,12,40M 54S
14,12,40M 37S
17,12,40M 16S
17,13,39M 59S
18,13,39M 16S
19,13,39M 16S
19,15,38M 55S
22,15,38M 29S
22,18,38M 11S
23,18,37M 26S
23,20,37M 10S
24,20,37M 0S
25,20,37M 0S
25,23,36M 38S
28,23,36M 31S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,24,35M 50S
28,25,35M 50S
28,28,35M 23S
30,28,34M 57S
33,28,34M 24S
33,31,34M 11S
33,33,33M 44S
36,33,33M 27S
36,35,32M 21S
36,37,31M 35S
37,37,31M 24S
38,37,31M 24S
38,40,31M 4S
38,41,30M 34S
38,42,30M 34S
41,42,30M 22S
41,44,29M 58S
43,44,29M 50S
43,46,29M 42S
45,46,29M 26S
45,49,28M 38S
47,49,28M 13S
47,51,27M 57S
50,51,27M 20S
52,51,27M 0S
52,52,26M 46S
52,55,26M 22S
55,55,26M 6S
55,57,25M 28S
57,57,24M 43S
57,58,24M 30S
57,59,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,62,23M 32S
57,64,23M 6S
57,66,22M 37S
57,68,21M 25S
57,71,20M 58S
59,71,20M 45S
61,71,19M 46S
61,73,19M 25S
63,73,19M 13S
63,76,18M 24S
65,76,18M 8S
65,79,17M 49S
67,79,17M 21S
67,81,16M 40S
68,81,16M 9S
69,81,16M 9S
69,83,15M 53S
69,84,15M 53S
69,86,15M 19S
72,86,14M 15S
73,86,13M 39S
73,89,13M 20S
75,89,12M 28S
75,91,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,94,11M 44S
75,97,11M 20S
77,97,10M 2S
78,97,9M 40S
79,97,9M 40S
81,97,9M 15S
82,97,9M 15S
85,97,8M 34S
87,97,7M 38S
88,97,7M 18S
88,99,7M 3S
91,99,6M 34S
93,99,6M 11S
93,100,5M 54S
93,101,5M 54S
93,104,5M 23S
95,104,5M 1S
95,105,3M 59S
95,106,3M 59S
95,107,3M 42S
97,107,3M 30S
100,107,2M 39S
100,108,1M 39S
100,109,1M 39S
100,110,1M 28S
102,110,1M 19S
105,110,54S
105,112,47S
105,113,32S
105,114,32S
105,115,23S
105,116,23S
End of 4th quarter,NA,0S
