New Orleans,Utah,time_rem
5-9,11-4,48M 0S
0,2,47M 43S
2,2,46M 42S
2,5,46M 27S
5,5,46M 17S
7,5,45M 48S
7,7,45M 19S
10,7,45M 6S
12,7,44M 43S
12,9,44M 26S
12,12,44M 6S
14,12,43M 21S
14,15,43M 6S
14,17,42M 20S
17,17,42M 2S
17,19,41M 26S
19,19,41M 9S
22,19,40M 48S
22,20,40M 28S
22,21,40M 28S
25,21,40M 19S
25,23,40M 0S
28,23,39M 43S
30,23,39M 14S
30,26,39M 0S
33,26,38M 46S
33,29,38M 11S
34,29,37M 58S
35,29,37M 58S
37,29,37M 38S
40,29,37M 11S
41,29,36M 52S
41,31,36M 45S
42,31,36M 4S
43,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
45,31,35M 41S
45,34,35M 22S
46,34,35M 6S
47,34,35M 6S
48,34,35M 6S
50,34,34M 49S
50,37,34M 34S
50,39,34M 11S
50,42,33M 53S
51,42,33M 33S
51,43,33M 20S
51,44,33M 20S
53,44,33M 7S
54,44,33M 7S
54,46,32M 53S
54,48,32M 32S
54,49,32M 29S
54,50,32M 29S
56,50,31M 49S
56,51,31M 17S
56,52,31M 17S
56,53,30M 52S
56,54,30M 52S
58,54,29M 37S
58,55,29M 20S
58,56,29M 20S
60,56,29M 13S
60,57,29M 1S
60,58,29M 1S
62,58,28M 48S
62,60,28M 32S
64,60,28M 1S
65,60,27M 41S
65,62,27M 31S
67,62,27M 13S
69,62,26M 46S
69,64,26M 17S
69,65,26M 17S
69,68,25M 51S
69,70,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
72,70,23M 45S
72,73,23M 24S
74,73,23M 3S
74,75,22M 14S
76,75,21M 20S
78,75,20M 55S
78,77,20M 37S
78,79,20M 16S
78,80,20M 16S
78,81,19M 46S
78,82,19M 46S
78,83,19M 46S
78,86,19M 10S
80,86,18M 54S
80,89,18M 10S
80,91,17M 48S
80,93,17M 18S
80,94,16M 48S
80,96,16M 27S
82,96,15M 40S
83,96,15M 28S
84,96,15M 28S
84,98,14M 56S
84,99,14M 23S
84,100,14M 23S
86,100,14M 9S
88,100,13M 40S
89,100,13M 40S
90,100,12M 30S
91,100,12M 1S
92,100,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,100,11M 34S
94,103,11M 9S
95,103,10M 46S
96,103,10M 46S
96,105,10M 33S
98,105,10M 19S
98,108,10M 11S
100,108,9M 40S
100,110,9M 17S
100,112,8M 48S
100,115,8M 24S
103,115,8M 10S
103,117,7M 52S
105,117,7M 37S
106,117,6M 9S
106,118,5M 50S
106,119,5M 50S
106,122,5M 15S
108,122,4M 45S
110,122,4M 10S
110,124,3M 10S
111,124,2M 52S
112,124,2M 52S
112,126,2M 39S
112,129,2M 10S
114,129,1M 49S
115,129,1M 30S
118,129,13S
End of 4th quarter,NA,0S
