LA Clippers,Boston,time_rem
24-13,18-17,48M 0S
0,0,47M 44S
0,2,47M 39S
2,2,47M 17S
2,4,47M 5S
2,6,46M 46S
4,6,46M 31S
4,7,45M 48S
7,7,45M 38S
7,9,45M 22S
7,12,44M 47S
8,12,44M 34S
9,12,44M 34S
9,14,44M 19S
9,16,43M 58S
11,16,43M 33S
11,18,43M 23S
13,18,43M 4S
13,20,42M 47S
16,20,42M 37S
19,20,42M 3S
19,23,41M 9S
21,23,40M 54S
23,23,40M 39S
23,25,40M 18S
25,25,40M 1S
26,25,40M 1S
26,28,39M 53S
28,28,39M 31S
30,28,39M 3S
30,30,38M 41S
30,32,37M 48S
30,35,36M 45S
32,35,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,35,35M 47S
34,36,35M 19S
34,37,35M 19S
36,37,35M 7S
36,40,34M 50S
36,42,34M 22S
38,42,34M 10S
38,44,33M 48S
38,45,33M 48S
41,45,33M 26S
41,47,33M 13S
41,49,32M 54S
43,49,32M 40S
46,49,31M 15S
46,52,30M 55S
49,52,30M 33S
50,52,30M 3S
51,52,30M 3S
53,52,29M 29S
53,55,29M 15S
55,55,28M 56S
58,55,26M 51S
58,58,26M 33S
61,58,25M 42S
61,60,25M 20S
63,60,25M 2S
63,62,24M 20S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
63,65,22M 59S
65,65,21M 54S
65,67,21M 34S
67,67,20M 17S
70,67,19M 29S
70,69,18M 53S
73,69,18M 24S
Jump ball: D. Theis vs. P. George (J. Brown gains possession),NA,18M 4S
73,70,17M 56S
75,70,17M 42S
75,72,16M 37S
78,72,15M 52S
78,74,15M 31S
78,76,15M 7S
78,79,14M 43S
81,79,14M 22S
81,82,14M 3S
81,83,13M 40S
81,84,13M 40S
84,84,13M 23S
84,87,13M 6S
86,87,12M 54S
86,88,12M 43S
89,88,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,91,11M 43S
92,91,11M 28S
92,94,11M 13S
92,96,10M 14S
92,97,9M 34S
94,97,9M 10S
94,100,8M 27S
96,100,8M 9S
98,100,7M 25S
98,102,7M 14S
99,102,6M 56S
100,102,6M 56S
100,104,6M 43S
100,105,6M 10S
100,106,6M 10S
100,109,5M 37S
100,111,4M 23S
103,111,4M 4S
105,111,3M 21S
105,112,2M 59S
105,113,2M 59S
108,113,2M 43S
109,113,1M 53S
Jump ball: R. Williams vs. S. Ibaka (J. Tatum gains possession),NA,1M 28S
109,114,23S
112,114,11S
112,115,10S
112,116,10S
112,117,4S
End of 4th quarter,NA,0S
