Boston,Minnesota,time_rem
36-35,22-49,48M 0S
0,0,47M 41S
0,2,46M 21S
0,4,45M 57S
0,6,45M 29S
0,7,45M 29S
2,7,45M 13S
2,9,45M 1S
5,9,44M 17S
5,10,44M 4S
5,11,44M 4S
8,11,43M 54S
8,13,43M 34S
9,13,43M 27S
10,13,43M 27S
11,13,43M 27S
14,13,43M 6S
17,13,42M 47S
17,15,42M 33S
19,15,42M 8S
19,17,41M 57S
22,17,41M 37S
22,19,41M 24S
22,20,41M 24S
24,20,40M 35S
27,20,39M 36S
30,20,39M 8S
30,21,38M 49S
32,21,38M 33S
32,24,38M 20S
34,24,37M 35S
37,24,37M 5S
37,26,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
39,26,35M 36S
39,27,34M 46S
40,27,34M 40S
41,27,34M 40S
42,27,34M 40S
42,29,34M 20S
43,29,33M 8S
43,31,32M 56S
45,31,32M 41S
47,31,31M 54S
47,33,31M 25S
50,33,31M 3S
50,35,30M 52S
50,38,30M 32S
50,40,29M 26S
53,40,29M 14S
56,40,28M 45S
58,40,27M 38S
58,41,27M 9S
60,41,27M 0S
60,42,26M 2S
60,43,26M 2S
63,43,25M 51S
63,45,25M 0S
66,45,24M 47S
66,47,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,49,23M 29S
68,49,23M 17S
70,49,22M 51S
70,51,22M 19S
70,52,21M 50S
70,53,21M 50S
72,53,21M 23S
72,55,19M 49S
73,55,19M 23S
74,55,19M 23S
74,56,19M 15S
74,57,19M 15S
76,57,19M 4S
78,57,18M 35S
78,58,18M 13S
79,58,17M 58S
81,58,17M 34S
81,60,16M 56S
83,60,16M 39S
83,63,16M 29S
83,64,15M 57S
83,65,15M 57S
86,65,15M 37S
86,67,14M 54S
86,69,14M 26S
86,70,14M 4S
87,70,14M 4S
87,72,13M 47S
89,72,13M 4S
89,73,12M 42S
89,74,12M 42S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,74,10M 42S
93,74,10M 15S
93,76,10M 2S
93,77,10M 2S
93,79,9M 20S
93,80,9M 6S
93,81,9M 6S
95,81,8M 57S
97,81,8M 22S
99,81,7M 58S
99,84,7M 50S
99,86,7M 16S
102,86,6M 57S
102,88,6M 31S
102,90,6M 11S
102,91,6M 11S
104,91,5M 59S
106,91,5M 19S
108,91,4M 58S
109,91,4M 58S
112,91,4M 38S
112,93,4M 24S
114,93,3M 31S
114,95,3M 18S
114,96,3M 18S
114,98,3M 5S
117,98,2M 36S
117,100,2M 16S
119,100,1M 59S
120,100,1M 59S
120,102,1M 52S
120,103,1M 52S
120,106,1M 21S
123,106,1M 5S
123,108,48S
124,108,31S
End of 4th quarter,NA,0S
