Detroit,Phoenix,time_rem
5-17,12-9,48M 0S
2,0,47M 46S
2,1,46M 14S
2,2,46M 14S
2,4,45M 35S
2,6,45M 13S
2,8,44M 42S
4,8,44M 1S
6,8,43M 38S
8,8,43M 5S
10,8,42M 45S
11,8,42M 17S
12,8,42M 17S
12,10,42M 8S
14,10,41M 25S
14,12,41M 12S
14,14,40M 33S
17,14,39M 52S
19,14,39M 17S
19,16,39M 8S
19,17,39M 8S
20,17,38M 53S
21,17,38M 53S
22,17,38M 23S
22,19,38M 13S
22,22,37M 33S
24,22,37M 18S
24,25,36M 58S
24,27,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,29,35M 38S
27,29,35M 23S
27,31,34M 53S
29,31,34M 8S
29,33,33M 15S
29,35,32M 55S
29,36,32M 55S
31,36,32M 43S
31,38,32M 11S
31,41,31M 50S
31,42,31M 50S
31,45,31M 42S
31,47,31M 3S
31,48,30M 30S
32,48,29M 52S
34,48,29M 29S
35,48,29M 4S
35,51,27M 59S
37,51,27M 46S
37,53,27M 21S
40,53,27M 7S
42,53,26M 38S
44,53,25M 48S
44,55,25M 24S
44,56,24M 50S
44,57,24M 50S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,59,23M 50S
44,60,23M 10S
44,61,23M 10S
45,61,22M 59S
46,61,22M 59S
46,63,22M 32S
48,63,22M 11S
50,63,21M 37S
51,63,21M 8S
52,63,21M 8S
52,65,20M 52S
54,65,20M 12S
55,65,20M 12S
55,68,20M 1S
55,70,19M 26S
55,73,18M 19S
58,73,18M 3S
58,74,17M 58S
58,77,17M 38S
59,77,17M 24S
59,79,17M 5S
60,79,16M 53S
60,81,16M 38S
62,81,16M 19S
65,81,15M 48S
65,83,14M 47S
66,83,14M 25S
Jump ball: D. Jones vs. I. Stewart (E. Moore gains possession),NA,14M 7S
66,85,13M 53S
68,85,13M 6S
68,87,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
70,87,11M 43S
72,87,11M 6S
74,87,10M 15S
74,88,9M 57S
76,88,9M 6S
76,91,8M 53S
78,91,8M 32S
79,91,8M 5S
79,92,7M 38S
81,92,7M 23S
81,95,6M 58S
81,98,6M 29S
81,100,6M 0S
81,102,5M 11S
84,102,5M 0S
84,104,4M 44S
86,104,4M 27S
86,107,4M 7S
86,109,3M 6S
89,109,1M 41S
91,109,1M 18S
92,109,1M 18S
End of 4th quarter,NA,0S
