Orlando,Houston,time_rem
6-3,3-4,48M 0S
0,0,47M 41S
2,0,47M 31S
2,3,47M 14S
3,3,46M 56S
4,3,46M 56S
4,6,45M 13S
5,6,44M 49S
6,6,44M 49S
6,8,44M 16S
8,8,43M 47S
10,8,43M 14S
11,8,42M 58S
12,8,42M 58S
12,9,42M 48S
12,11,42M 13S
12,14,41M 48S
12,17,41M 24S
12,19,40M 38S
12,21,39M 10S
14,21,38M 57S
14,23,38M 32S
14,25,38M 12S
17,25,38M 2S
17,27,37M 45S
17,30,36M 49S
17,32,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
17,34,35M 27S
17,37,34M 49S
19,37,33M 41S
19,40,33M 15S
21,40,32M 57S
21,43,32M 10S
21,46,31M 26S
21,48,30M 3S
23,48,28M 51S
23,50,28M 33S
23,53,27M 55S
24,53,27M 29S
26,53,27M 23S
26,54,27M 0S
26,55,27M 0S
28,55,26M 28S
28,57,25M 45S
28,60,25M 17S
29,60,25M 3S
31,60,24M 37S
33,60,24M 6S
33,62,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
33,65,23M 27S
34,65,23M 11S
36,65,22M 53S
36,68,22M 22S
38,68,21M 55S
38,69,21M 30S
38,71,21M 2S
41,71,20M 48S
41,73,19M 36S
41,75,19M 0S
43,75,18M 35S
43,78,17M 51S
43,81,17M 15S
46,81,16M 31S
46,83,16M 14S
49,83,15M 56S
49,85,14M 54S
51,85,14M 32S
51,87,14M 12S
54,87,13M 53S
54,90,13M 39S
57,90,13M 13S
57,93,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
57,95,11M 19S
59,95,10M 41S
59,98,10M 28S
61,98,10M 15S
61,100,9M 37S
63,100,9M 20S
63,103,8M 59S
65,103,8M 40S
66,103,8M 40S
66,104,8M 25S
68,104,8M 13S
68,106,7M 56S
68,108,7M 27S
70,108,7M 13S
73,108,6M 42S
73,111,6M 27S
76,111,6M 10S
76,114,5M 58S
78,114,5M 37S
78,115,5M 28S
78,116,5M 28S
78,117,5M 28S
78,119,4M 36S
80,119,4M 21S
82,119,3M 39S
83,119,3M 7S
84,119,3M 7S
86,119,2M 39S
86,121,2M 27S
87,121,2M 15S
88,121,2M 15S
88,123,1M 58S
88,125,1M 43S
88,127,1M 21S
90,127,1M 8S
90,130,50S
90,132,24S
End of 4th quarter,NA,0S
