San Antonio,Dallas,time_rem
25-26,29-23,48M 0S
0,0,47M 43S
2,0,47M 15S
2,3,46M 53S
2,4,46M 22S
2,5,46M 22S
4,5,46M 9S
6,5,44M 54S
6,7,44M 36S
8,7,44M 22S
9,7,44M 4S
10,7,44M 4S
10,8,43M 51S
10,9,43M 51S
12,9,43M 39S
12,11,43M 27S
15,11,43M 12S
17,11,41M 43S
17,13,41M 13S
17,15,40M 47S
20,15,40M 28S
21,15,40M 3S
22,15,40M 3S
22,17,39M 38S
24,17,39M 18S
24,19,39M 6S
24,22,38M 42S
24,24,38M 19S
24,25,37M 29S
24,26,37M 29S
26,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,26,34M 43S
28,26,34M 43S
31,26,34M 18S
31,28,33M 42S
31,29,33M 42S
32,29,33M 27S
34,29,33M 12S
34,31,32M 58S
36,31,32M 15S
36,33,31M 33S
38,33,31M 17S
38,36,30M 54S
38,38,30M 26S
39,38,30M 16S
39,40,30M 0S
39,42,29M 12S
40,42,29M 4S
41,42,29M 4S
41,45,28M 52S
41,47,28M 27S
43,47,27M 50S
43,50,27M 34S
43,52,27M 7S
45,52,26M 49S
47,52,25M 50S
47,54,25M 29S
49,54,24M 59S
49,56,24M 45S
51,56,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,58,23M 39S
53,58,23M 19S
55,58,22M 54S
57,58,22M 14S
59,58,21M 39S
60,58,21M 39S
60,60,21M 26S
62,60,21M 14S
64,60,20M 40S
64,61,20M 25S
64,62,20M 25S
64,64,19M 54S
66,64,19M 36S
66,66,19M 26S
68,66,19M 10S
69,66,18M 48S
70,66,18M 48S
70,68,18M 32S
72,68,18M 5S
75,68,17M 44S
75,69,17M 26S
75,70,17M 26S
75,71,17M 26S
77,71,17M 10S
77,73,16M 58S
77,75,16M 18S
77,78,16M 4S
78,78,15M 33S
78,81,14M 23S
80,81,14M 5S
80,83,13M 43S
83,83,13M 27S
85,83,13M 8S
86,83,13M 8S
86,86,12M 52S
88,86,12M 11S
88,89,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,89,11M 33S
93,89,10M 52S
93,91,10M 32S
96,91,10M 5S
99,91,8M 37S
99,94,8M 13S
101,94,7M 16S
101,96,6M 53S
101,98,6M 2S
103,98,5M 38S
103,101,5M 26S
105,101,5M 7S
105,104,4M 46S
107,104,4M 29S
108,104,4M 29S
109,104,4M 12S
110,104,4M 12S
112,104,3M 22S
113,104,3M 22S
113,107,2M 58S
114,107,2M 54S
114,109,2M 40S
114,111,2M 6S
114,113,1M 26S
116,113,1M 14S
117,113,1M 14S
117,114,1M 4S
117,115,1M 4S
117,117,19S
119,117,1S
End of 4th quarter,NA,0S
