Detroit,Minnesota,time_rem
0-1,1-0,48M 0S
0,0,47M 45S
3,0,47M 26S
4,0,47M 26S
6,0,46M 50S
8,0,46M 19S
8,2,45M 4S
10,2,44M 43S
12,2,43M 56S
14,2,43M 16S
14,4,43M 6S
14,6,42M 42S
14,9,42M 21S
16,9,42M 4S
16,11,41M 47S
19,11,41M 30S
21,11,41M 0S
21,14,40M 45S
22,14,40M 0S
22,16,39M 45S
22,17,39M 23S
24,17,38M 59S
24,19,38M 42S
27,19,38M 24S
27,21,38M 8S
27,22,37M 49S
27,23,37M 49S
29,23,37M 35S
31,23,37M 15S
31,24,37M 7S
31,25,37M 7S
34,25,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,25,35M 32S
38,25,34M 38S
38,27,34M 23S
38,28,34M 0S
38,29,34M 0S
40,29,33M 4S
40,30,32M 36S
40,31,32M 5S
40,33,31M 48S
42,33,31M 43S
45,33,31M 12S
45,35,30M 53S
47,35,30M 36S
49,35,29M 53S
49,37,29M 41S
49,39,29M 17S
49,40,29M 17S
51,40,28M 56S
51,43,28M 45S
51,46,28M 19S
53,46,27M 10S
53,48,27M 1S
55,48,26M 42S
55,49,26M 1S
55,50,26M 1S
55,52,25M 37S
57,52,25M 18S
57,54,25M 5S
57,55,24M 30S
57,56,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,56,23M 39S
59,58,23M 21S
61,58,22M 19S
61,61,21M 57S
63,61,21M 48S
66,61,21M 18S
68,61,20M 46S
71,61,19M 51S
73,61,18M 49S
73,63,18M 20S
74,63,18M 5S
74,65,17M 53S
76,65,17M 45S
76,67,17M 29S
76,70,17M 11S
76,72,16M 50S
78,72,16M 30S
78,75,15M 46S
81,75,15M 28S
83,75,14M 2S
83,76,13M 58S
83,77,13M 58S
85,77,13M 38S
85,78,13M 3S
85,80,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,83,11M 43S
87,83,10M 38S
89,83,9M 34S
91,83,9M 9S
91,85,8M 44S
91,87,7M 46S
93,87,7M 8S
93,89,6M 52S
95,89,6M 13S
95,90,5M 57S
95,91,5M 57S
95,93,5M 38S
95,95,5M 21S
97,95,3M 51S
97,98,3M 38S
99,98,3M 2S
99,99,2M 42S
99,100,2M 42S
101,100,2M 24S
101,103,2M 5S
101,106,1M 28S
101,107,1M 5S
101,108,1M 5S
101,110,36S
101,111,36S
End of 4th quarter,NA,0S
