Denver,Portland,time_rem
38-20,32-26,48M 0S
0,0,47M 44S
2,0,47M 35S
2,3,46M 50S
3,3,45M 54S
4,3,45M 54S
4,6,45M 40S
7,6,45M 25S
7,8,45M 4S
9,8,44M 46S
9,11,44M 35S
11,11,44M 10S
13,11,43M 44S
13,12,43M 30S
13,13,43M 30S
15,13,43M 15S
15,15,43M 1S
17,15,42M 6S
19,15,41M 47S
19,17,41M 33S
19,20,41M 3S
22,20,40M 47S
22,22,40M 9S
24,22,39M 51S
24,25,39M 37S
27,25,39M 18S
27,27,38M 59S
29,27,38M 23S
29,29,37M 29S
30,29,37M 15S
31,29,37M 15S
31,31,36M 54S
33,31,36M 42S
33,32,36M 32S
33,33,36M 32S
34,33,36M 25S
35,33,36M 25S
35,36,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,36,35M 45S
37,38,35M 25S
39,38,34M 47S
40,38,34M 47S
40,40,34M 25S
40,42,33M 3S
40,44,31M 37S
40,46,31M 11S
40,48,30M 30S
42,48,28M 37S
45,48,27M 59S
48,48,27M 4S
48,51,26M 40S
50,51,26M 22S
52,51,25M 55S
52,52,25M 39S
52,53,25M 39S
54,53,25M 29S
54,55,25M 8S
54,57,24M 44S
57,57,24M 36S
60,57,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,57,23M 8S
62,58,22M 51S
62,59,22M 51S
65,59,22M 38S
65,61,22M 12S
65,64,21M 40S
65,66,20M 33S
65,68,19M 34S
65,71,18M 54S
67,71,18M 28S
67,73,17M 46S
67,74,17M 24S
67,75,17M 24S
67,77,17M 9S
69,77,16M 54S
70,77,16M 54S
72,77,16M 15S
73,77,16M 15S
74,77,15M 47S
74,79,15M 0S
74,82,14M 35S
77,82,14M 18S
80,82,13M 51S
80,84,13M 10S
82,84,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,86,11M 3S
84,86,10M 37S
84,89,9M 58S
87,89,9M 29S
88,89,9M 3S
89,89,9M 3S
89,91,8M 45S
92,91,7M 43S
94,91,7M 25S
94,92,7M 8S
94,93,7M 8S
97,93,6M 36S
99,93,6M 11S
99,96,5M 58S
99,97,5M 58S
99,99,4M 57S
99,101,3M 48S
101,101,3M 37S
103,101,1M 53S
103,103,1M 37S
104,103,1M 15S
105,103,40S
106,103,40S
106,105,35S
Jump ball: N. Powell vs. A. Gordon (R. Covington gains possession),NA,4S
End of 4th quarter,NA,0S
