Cleveland,Phoenix,time_rem
10-15,14-9,48M 0S
0,0,47M 38S
2,0,47M 0S
2,2,46M 37S
2,4,46M 2S
5,4,45M 48S
7,4,45M 31S
7,6,45M 14S
9,6,44M 53S
11,6,44M 32S
11,8,44M 12S
11,11,43M 50S
13,11,43M 33S
15,11,43M 10S
15,13,42M 58S
15,15,42M 26S
17,15,42M 9S
17,18,41M 51S
17,20,41M 26S
19,20,41M 6S
21,20,40M 35S
21,22,39M 53S
21,24,39M 14S
23,24,39M 0S
23,26,38M 32S
24,26,37M 27S
25,26,37M 11S
28,26,36M 44S
28,29,36M 33S
28,30,36M 33S
28,32,36M 3S
28,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,36,35M 4S
30,36,34M 40S
30,38,34M 29S
33,38,34M 11S
33,40,33M 48S
35,40,33M 36S
37,40,33M 20S
37,42,32M 59S
40,42,32M 43S
40,44,32M 28S
42,44,32M 8S
42,46,32M 2S
42,47,32M 2S
42,49,31M 45S
42,52,31M 4S
44,52,30M 52S
44,54,30M 27S
44,56,29M 45S
46,56,29M 2S
48,56,28M 44S
51,56,28M 10S
54,56,27M 32S
54,58,27M 13S
56,58,26M 59S
56,60,26M 51S
58,60,26M 31S
58,62,26M 8S
60,62,25M 47S
60,64,25M 36S
61,64,25M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,66,23M 45S
61,68,22M 32S
63,68,22M 14S
65,68,21M 39S
66,68,21M 5S
67,68,21M 5S
67,70,20M 49S
67,72,19M 50S
68,72,19M 21S
69,72,19M 21S
69,74,19M 8S
71,74,18M 59S
73,74,18M 18S
73,76,18M 11S
74,76,17M 58S
74,79,17M 42S
75,79,17M 29S
76,79,17M 29S
76,80,16M 46S
79,80,16M 27S
79,81,16M 15S
79,82,16M 15S
79,83,16M 15S
81,83,15M 58S
81,85,15M 26S
82,85,15M 5S
83,85,15M 5S
85,85,14M 41S
85,87,14M 28S
87,87,13M 46S
89,87,13M 20S
89,89,13M 2S
91,89,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,89,11M 21S
93,92,10M 46S
95,92,10M 20S
95,93,9M 16S
95,94,9M 16S
95,95,9M 16S
97,95,9M 2S
98,95,9M 2S
100,95,8M 31S
100,98,7M 48S
100,101,7M 4S
102,101,6M 42S
102,104,6M 27S
104,104,6M 9S
106,104,5M 31S
107,104,5M 31S
107,106,4M 31S
108,106,4M 19S
109,106,4M 19S
109,109,3M 56S
109,111,3M 9S
112,111,2M 44S
113,111,2M 26S
113,114,2M 4S
113,115,1M 32S
113,116,17S
113,117,17S
113,118,12S
113,119,12S
End of 4th quarter,NA,0S
