Golden State,Phoenix,time_rem
19-18,24-11,48M 0S
0,0,47M 50S
2,0,47M 39S
3,0,47M 39S
3,3,46M 21S
5,3,45M 50S
5,5,45M 40S
7,5,45M 13S
7,7,44M 54S
8,7,44M 31S
9,7,44M 31S
9,9,44M 19S
9,11,43M 46S
9,14,42M 10S
11,14,41M 46S
11,16,41M 36S
13,16,41M 20S
15,16,41M 12S
15,18,40M 31S
16,18,39M 53S
16,20,39M 36S
18,20,39M 20S
18,22,39M 5S
20,22,38M 10S
20,24,37M 49S
23,24,37M 41S
23,27,37M 28S
23,29,37M 0S
23,32,36M 36S
23,34,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,36,35M 33S
23,38,35M 11S
25,38,34M 47S
25,40,34M 33S
25,42,33M 55S
25,44,33M 32S
25,45,33M 12S
27,45,32M 51S
29,45,32M 29S
29,48,31M 18S
30,48,31M 7S
31,48,31M 7S
31,49,30M 46S
31,50,30M 46S
33,50,29M 38S
33,51,29M 22S
33,52,29M 22S
33,53,28M 58S
36,53,28M 28S
36,55,28M 11S
38,55,27M 49S
38,57,27M 34S
41,57,27M 19S
41,58,27M 4S
41,59,27M 4S
44,59,26M 58S
46,59,26M 30S
46,62,25M 8S
48,62,24M 27S
49,62,24M 27S
51,62,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,62,23M 35S
54,63,23M 13S
56,63,23M 0S
56,66,22M 40S
57,66,21M 53S
57,68,21M 32S
60,68,21M 16S
60,70,20M 53S
60,73,20M 24S
60,76,19M 51S
63,76,18M 46S
65,76,17M 14S
65,79,16M 52S
67,79,16M 26S
67,81,16M 21S
67,83,15M 38S
67,85,15M 8S
69,85,14M 25S
70,85,14M 11S
70,87,13M 34S
73,87,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,89,11M 45S
73,90,11M 45S
73,93,11M 3S
75,93,10M 14S
77,93,9M 55S
79,93,9M 18S
79,95,8M 43S
79,97,8M 20S
82,97,7M 58S
82,99,7M 21S
83,99,7M 11S
85,99,6M 3S
85,101,5M 40S
85,103,5M 21S
85,105,4M 25S
85,107,3M 55S
87,107,3M 39S
87,109,3M 26S
90,109,3M 13S
90,111,2M 45S
90,113,2M 11S
93,113,2M 2S
93,116,1M 45S
95,116,1M 18S
95,118,1M 9S
95,120,49S
98,120,38S
End of 4th quarter,NA,0S
