Milwaukee,Orlando,time_rem
33-20,17-36,48M 0S
0,0,47M 39S
2,0,47M 21S
4,0,45M 54S
4,2,45M 36S
4,4,44M 58S
7,4,44M 33S
9,4,44M 9S
11,4,43M 33S
14,4,42M 56S
14,6,42M 44S
14,8,41M 47S
15,8,41M 24S
15,10,40M 4S
17,10,39M 44S
18,10,39M 44S
18,12,39M 26S
21,12,38M 41S
21,14,38M 20S
24,14,38M 13S
24,17,37M 56S
27,17,37M 43S
30,17,37M 19S
30,19,36M 56S
32,19,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,19,35M 12S
34,22,34M 53S
37,22,33M 44S
37,24,32M 35S
37,26,31M 42S
39,26,31M 22S
39,29,31M 6S
42,29,30M 47S
45,29,30M 13S
45,32,29M 35S
46,32,29M 24S
47,32,29M 24S
49,32,28M 31S
51,32,28M 15S
53,32,27M 54S
53,34,27M 9S
53,36,26M 13S
55,36,25M 28S
55,38,24M 53S
57,38,24M 38S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,40,23M 37S
57,41,23M 37S
58,41,23M 29S
59,41,23M 29S
59,43,23M 16S
61,43,22M 47S
61,46,22M 32S
63,46,22M 7S
63,48,21M 48S
66,48,20M 55S
66,50,20M 36S
66,52,20M 17S
66,53,20M 17S
68,53,20M 0S
68,55,19M 36S
69,55,18M 35S
70,55,18M 35S
72,55,17M 27S
73,55,17M 5S
74,55,17M 5S
74,57,16M 54S
74,59,16M 17S
77,59,16M 1S
79,59,15M 35S
79,60,15M 16S
79,61,15M 16S
82,61,14M 38S
82,64,14M 8S
84,64,13M 47S
85,64,13M 29S
85,67,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,67,11M 29S
90,67,10M 46S
92,67,10M 28S
95,67,9M 25S
95,68,9M 4S
95,69,9M 4S
97,69,8M 48S
97,72,8M 32S
99,72,8M 16S
102,72,7M 51S
102,74,6M 56S
102,76,6M 36S
105,76,6M 22S
108,76,5M 55S
111,76,5M 8S
111,77,4M 24S
111,78,4M 24S
111,79,3M 38S
111,80,3M 38S
111,81,3M 12S
113,81,2M 53S
113,82,2M 37S
113,83,2M 37S
115,83,2M 22S
115,85,2M 6S
117,85,1M 40S
118,85,1M 31S
119,85,1M 31S
122,85,1M 7S
122,86,56S
122,87,56S
124,87,43S
End of 4th quarter,NA,0S
