Orlando,New York,time_rem
6-8,7-8,48M 0S
0,2,47M 41S
2,2,46M 31S
5,2,45M 59S
5,4,45M 19S
7,4,44M 54S
7,6,43M 29S
9,6,43M 5S
9,9,41M 54S
9,11,41M 4S
9,13,40M 14S
9,15,39M 30S
9,17,38M 59S
10,17,37M 39S
11,17,37M 39S
11,19,37M 14S
13,19,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
15,19,35M 45S
15,20,35M 28S
15,21,35M 28S
16,21,35M 17S
16,22,35M 3S
16,23,35M 3S
18,23,34M 51S
18,26,34M 44S
21,26,33M 40S
21,28,33M 30S
22,28,32M 54S
24,28,32M 16S
24,30,32M 0S
27,30,31M 51S
27,32,31M 23S
29,32,31M 10S
29,33,30M 59S
31,33,30M 21S
31,35,29M 32S
31,36,29M 8S
31,37,29M 8S
32,37,28M 20S
33,37,28M 20S
33,39,28M 4S
33,40,27M 3S
33,41,27M 3S
36,41,26M 49S
36,44,26M 27S
37,44,25M 49S
38,44,25M 49S
38,47,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
38,49,22M 37S
40,49,22M 2S
42,49,21M 16S
42,51,20M 57S
45,51,19M 54S
45,53,19M 41S
47,53,19M 17S
47,56,18M 43S
49,56,18M 25S
49,57,17M 49S
49,58,17M 49S
49,59,16M 19S
49,60,15M 31S
49,62,14M 29S
51,62,13M 43S
51,64,13M 34S
51,66,13M 14S
54,66,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
54,68,11M 48S
55,68,11M 35S
56,68,11M 35S
59,68,11M 9S
59,69,10M 44S
61,69,10M 23S
62,69,10M 4S
63,69,10M 4S
63,71,9M 10S
66,71,8M 54S
67,71,7M 50S
68,71,7M 50S
70,71,6M 24S
70,73,6M 7S
73,73,5M 50S
73,75,5M 26S
73,76,5M 14S
75,76,4M 53S
75,77,3M 50S
75,78,3M 50S
78,78,3M 39S
78,80,2M 49S
Jump ball: K. Birch vs. R. Barrett (T. Ross gains possession),NA,1M 43S
81,80,1M 41S
81,81,1M 33S
81,83,56S
81,85,46S
Jump ball: J. Randle vs. C. Anthony (R. Bullock gains possession),NA,27S
81,86,27S
81,87,27S
81,88,16S
81,89,16S
84,89,5S
84,90,4S
84,91,4S
End of 4th quarter,NA,0S
