Oklahoma City,Portland,time_rem
20-29,30-19,48M 0S
0,0,47M 48S
0,3,47M 27S
0,5,46M 41S
0,7,46M 18S
1,7,45M 47S
2,7,45M 47S
4,7,45M 17S
4,8,44M 40S
6,8,44M 3S
6,11,43M 24S
6,13,42M 24S
6,15,41M 46S
6,17,41M 21S
6,20,40M 50S
6,22,40M 15S
9,22,39M 37S
9,25,39M 15S
12,25,38M 55S
12,26,38M 34S
12,27,38M 34S
14,27,38M 16S
14,29,38M 0S
14,32,37M 17S
14,35,36M 42S
17,35,36M 34S
19,35,36M 17S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,37,35M 16S
21,37,35M 1S
21,38,34M 50S
21,39,34M 50S
21,41,34M 29S
23,41,34M 11S
24,41,33M 53S
25,41,33M 53S
25,43,33M 13S
27,43,32M 48S
27,45,31M 55S
29,45,31M 42S
32,45,31M 25S
34,45,30M 56S
36,45,30M 22S
36,48,30M 0S
39,48,29M 46S
39,50,29M 28S
39,53,29M 14S
41,53,28M 58S
43,53,28M 18S
43,55,27M 57S
44,55,27M 20S
44,57,26M 24S
44,59,25M 40S
44,62,24M 34S
45,62,24M 25S
46,62,24M 25S
46,64,24M 6S
46,65,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,65,23M 51S
50,65,23M 21S
50,68,23M 10S
50,70,22M 42S
50,72,22M 12S
51,72,21M 45S
51,74,21M 24S
51,75,21M 24S
51,78,21M 2S
51,81,20M 24S
51,83,20M 3S
51,85,19M 48S
51,88,19M 1S
54,88,18M 43S
54,91,18M 26S
54,93,17M 52S
54,95,17M 22S
55,95,15M 50S
57,95,15M 22S
57,97,15M 0S
57,100,14M 34S
57,102,13M 21S
59,102,13M 0S
59,104,12M 43S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
59,107,11M 12S
59,110,10M 45S
62,110,10M 32S
65,110,10M 0S
66,110,10M 0S
66,113,9M 8S
68,113,8M 50S
70,113,7M 52S
72,113,7M 23S
73,113,7M 23S
Jump ball: E. Freedom vs. T. Bradley (H. Giles gains possession),NA,7M 5S
73,115,7M 3S
74,115,6M 35S
75,115,6M 35S
75,117,6M 23S
77,117,6M 11S
77,119,5M 26S
77,121,4M 58S
77,122,3M 51S
78,122,3M 51S
79,122,3M 51S
79,125,3M 13S
79,126,2M 56S
79,129,2M 5S
79,130,2M 5S
81,130,1M 14S
81,132,1M 3S
81,133,1M 3S
82,133,50S
83,133,50S
85,133,19S
End of 4th quarter,NA,0S
