LA Clippers,Chicago,time_rem
19-8,10-15,48M 0S
0,3,47M 43S
0,6,46M 52S
2,6,46M 28S
4,6,45M 51S
6,6,45M 28S
9,6,45M 2S
11,6,44M 16S
13,6,43M 53S
14,6,43M 53S
14,8,42M 36S
14,10,41M 45S
14,12,41M 13S
16,12,41M 4S
18,12,40M 14S
20,12,39M 34S
22,12,39M 4S
24,12,38M 39S
24,15,37M 48S
24,18,37M 21S
26,18,37M 4S
26,20,36M 48S
28,20,36M 38S
28,22,36M 29S
30,22,36M 9S
30,25,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,26,35M 29S
30,27,35M 29S
32,27,35M 14S
32,30,34M 54S
33,30,34M 37S
34,30,34M 37S
34,32,34M 27S
36,32,34M 0S
36,33,32M 24S
36,34,32M 24S
36,35,32M 24S
39,35,32M 9S
39,37,31M 49S
41,37,31M 37S
41,40,31M 18S
44,40,30M 42S
44,42,30M 26S
46,42,29M 46S
46,45,29M 0S
47,45,27M 34S
49,45,27M 6S
49,48,26M 38S
51,48,26M 20S
51,50,25M 53S
53,50,25M 37S
53,52,25M 22S
55,52,25M 3S
55,54,24M 50S
58,54,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,54,23M 38S
60,55,23M 16S
60,56,23M 16S
60,58,22M 59S
62,58,22M 40S
62,61,22M 19S
65,61,22M 5S
66,61,21M 38S
67,61,21M 38S
69,61,20M 41S
69,63,20M 29S
72,63,20M 16S
72,65,19M 51S
72,66,19M 14S
72,67,19M 14S
72,69,18M 34S
74,69,17M 48S
74,71,17M 34S
76,71,17M 20S
76,73,16M 55S
77,73,16M 44S
78,73,16M 44S
78,74,16M 27S
80,74,16M 14S
82,74,15M 44S
82,75,15M 33S
82,76,15M 33S
84,76,15M 13S
84,78,14M 19S
85,78,14M 10S
86,78,14M 10S
89,78,12M 46S
90,78,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,78,11M 38S
92,79,11M 1S
92,80,11M 1S
92,82,10M 29S
94,82,10M 17S
94,84,9M 57S
96,84,9M 40S
99,84,9M 19S
99,86,9M 2S
101,86,8M 53S
103,86,8M 20S
103,88,7M 59S
106,88,7M 36S
106,90,7M 16S
109,90,7M 1S
109,92,6M 38S
109,94,5M 57S
112,94,5M 36S
112,97,5M 6S
114,97,4M 45S
117,97,4M 22S
117,99,3M 30S
118,99,3M 30S
120,99,3M 13S
120,101,2M 33S
123,101,2M 11S
123,104,1M 33S
125,104,52S
125,106,37S
End of 4th quarter,NA,0S
