Toronto,Detroit,time_rem
18-29,13-33,48M 0S
0,0,47M 37S
0,2,47M 24S
3,2,46M 54S
4,2,46M 15S
5,2,46M 15S
5,5,45M 54S
5,8,44M 39S
5,11,44M 1S
8,11,43M 45S
8,14,43M 33S
10,14,43M 24S
12,14,43M 0S
12,17,42M 30S
14,17,41M 6S
15,17,41M 6S
15,18,40M 24S
15,19,40M 24S
18,19,40M 13S
18,20,39M 51S
18,21,39M 51S
21,21,39M 29S
21,24,39M 22S
21,26,38M 48S
21,28,37M 57S
22,28,37M 38S
23,28,37M 38S
25,28,37M 6S
25,31,36M 58S
25,32,36M 34S
25,33,36M 34S
27,33,36M 11S
27,35,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,38,35M 17S
27,39,34M 42S
27,40,34M 42S
27,41,34M 10S
27,44,33M 32S
27,45,32M 42S
27,46,32M 42S
30,46,32M 21S
30,48,31M 59S
30,49,31M 59S
32,49,31M 52S
35,49,31M 29S
35,50,30M 44S
35,51,30M 44S
35,52,30M 44S
37,52,30M 12S
37,54,29M 55S
37,57,29M 18S
38,57,28M 22S
38,59,28M 11S
39,59,28M 2S
40,59,28M 2S
42,59,27M 37S
42,60,27M 25S
45,60,27M 6S
46,60,26M 39S
46,61,25M 12S
46,62,25M 12S
46,64,24M 56S
47,64,24M 34S
48,64,24M 34S
48,66,24M 23S
49,66,24M 6S
50,66,24M 6S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,66,23M 51S
53,69,22M 41S
55,69,22M 27S
55,72,21M 56S
58,72,21M 13S
58,74,21M 0S
61,74,20M 44S
61,76,20M 33S
61,78,19M 2S
62,78,18M 29S
63,78,18M 29S
65,78,18M 3S
65,80,17M 38S
65,81,17M 24S
65,82,17M 24S
65,84,16M 46S
65,87,16M 19S
67,87,15M 25S
68,87,14M 38S
69,87,14M 23S
69,88,14M 15S
71,88,14M 2S
72,88,13M 42S
73,88,13M 42S
73,91,13M 24S
75,91,13M 9S
75,92,12M 48S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,94,11M 48S
75,95,11M 29S
77,95,11M 15S
77,98,10M 51S
79,98,10M 27S
79,100,10M 5S
79,102,9M 46S
81,102,9M 33S
84,102,9M 8S
84,103,8M 44S
84,104,8M 44S
86,104,8M 30S
86,106,7M 16S
88,106,7M 3S
88,108,6M 47S
90,108,6M 30S
90,110,5M 38S
91,110,5M 25S
92,110,5M 25S
92,112,4M 30S
94,112,4M 12S
94,113,3M 42S
94,114,3M 42S
95,114,3M 13S
96,114,3M 13S
98,114,2M 24S
98,116,2M 18S
100,116,2M 5S
102,116,1M 27S
102,118,53S
104,118,17S
End of 4th quarter,NA,0S
