Portland,LA Clippers,time_rem
30-20,34-18,48M 0S
0,2,47M 40S
1,2,47M 17S
1,4,46M 57S
3,4,46M 40S
3,7,46M 23S
3,9,45M 51S
3,12,45M 32S
6,12,45M 17S
6,15,45M 2S
8,15,44M 38S
8,18,44M 28S
10,18,44M 14S
10,20,43M 55S
12,20,43M 42S
12,22,43M 29S
14,22,43M 13S
14,23,43M 2S
14,24,43M 2S
15,24,42M 36S
16,24,42M 36S
16,26,42M 24S
17,26,42M 10S
18,26,42M 10S
18,28,41M 59S
20,28,41M 38S
20,30,41M 19S
22,30,41M 10S
22,32,41M 1S
24,32,40M 49S
24,35,40M 37S
26,35,40M 21S
27,35,40M 21S
29,35,39M 59S
29,38,39M 6S
30,38,38M 51S
30,39,38M 4S
30,40,38M 4S
30,43,37M 32S
30,45,37M 3S
32,45,36M 43S
32,47,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,47,35M 41S
33,50,34M 56S
33,53,34M 25S
33,56,34M 2S
33,57,33M 38S
33,58,33M 38S
36,58,33M 27S
36,60,33M 5S
36,62,32M 35S
39,62,32M 2S
39,64,31M 51S
40,64,31M 41S
41,64,31M 41S
41,66,31M 19S
43,66,30M 39S
44,66,30M 20S
45,66,30M 20S
45,68,29M 58S
46,68,29M 56S
47,68,29M 56S
49,68,29M 33S
51,68,29M 14S
51,70,29M 2S
54,70,28M 45S
54,72,28M 29S
55,72,28M 18S
57,72,27M 55S
59,72,26M 59S
59,73,26M 18S
60,73,26M 5S
63,73,25M 36S
66,73,24M 53S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,73,23M 2S
68,75,22M 45S
68,77,22M 15S
70,77,21M 58S
70,79,21M 37S
70,82,21M 2S
70,84,20M 14S
72,84,19M 26S
75,84,18M 58S
76,84,18M 32S
77,84,18M 32S
78,84,18M 9S
79,84,18M 9S
82,84,17M 38S
82,87,17M 17S
82,88,16M 24S
82,89,16M 24S
84,89,15M 49S
84,92,14M 50S
84,93,14M 50S
84,94,14M 27S
84,95,14M 27S
87,95,14M 15S
87,97,13M 11S
87,98,13M 11S
88,98,12M 49S
89,98,12M 49S
89,100,12M 39S
89,101,12M 8S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,101,11M 23S
92,102,11M 8S
92,103,11M 8S
94,103,10M 55S
96,103,10M 13S
96,105,9M 58S
97,105,9M 37S
98,105,9M 37S
98,107,9M 24S
98,110,8M 54S
99,110,7M 54S
100,110,7M 54S
100,113,7M 42S
100,114,7M 42S
100,115,7M 21S
100,116,7M 21S
100,118,6M 52S
102,118,6M 35S
102,121,6M 15S
103,121,6M 3S
104,121,6M 3S
104,123,5M 22S
106,123,5M 0S
107,123,4M 36S
108,123,4M 36S
108,125,4M 25S
108,126,4M 25S
108,127,3M 55S
108,128,3M 55S
110,128,3M 40S
111,128,3M 11S
114,128,2M 49S
114,129,2M 32S
114,131,2M 3S
114,132,1M 25S
114,133,1M 25S
116,133,18S
End of 4th quarter,NA,0S
