Sacramento,Utah,time_rem
22-31,40-13,48M 0S
0,0,47M 38S
2,0,47M 19S
4,0,46M 26S
7,0,45M 16S
7,1,44M 51S
9,1,44M 44S
12,1,44M 16S
12,3,43M 23S
14,3,43M 12S
14,4,43M 1S
14,5,43M 1S
14,6,42M 44S
14,7,42M 44S
16,7,42M 10S
16,9,41M 51S
18,9,41M 38S
18,11,41M 19S
20,11,41M 10S
20,12,40M 57S
20,13,40M 57S
20,15,40M 35S
20,16,40M 6S
20,17,40M 6S
22,17,39M 47S
22,19,39M 32S
24,19,39M 18S
27,19,38M 44S
27,21,37M 40S
27,22,37M 40S
27,25,37M 10S
30,25,36M 58S
30,28,36M 48S
30,31,36M 35S
31,31,36M 19S
31,34,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,34,35M 36S
35,34,34M 51S
35,37,34M 33S
35,40,33M 36S
37,40,33M 24S
38,40,32M 56S
39,40,32M 56S
41,40,32M 26S
41,42,32M 6S
42,42,31M 47S
44,42,31M 8S
44,45,30M 48S
45,45,30M 30S
45,47,30M 18S
45,49,29M 26S
48,49,29M 17S
48,50,28M 57S
48,51,28M 57S
50,51,28M 43S
51,51,28M 11S
51,53,27M 59S
54,53,27M 50S
54,55,27M 35S
54,57,27M 16S
57,57,26M 57S
57,58,26M 39S
57,59,26M 39S
58,59,26M 27S
60,59,25M 51S
62,59,25M 31S
Jump ball: R. O'Neale vs. M. Harkless (D. Mitchell gains possession),NA,24M 39S
63,59,24M 7S
64,59,24M 7S
65,59,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,61,23M 32S
65,64,23M 8S
65,67,22M 32S
67,67,21M 38S
69,67,21M 14S
71,67,20M 51S
71,68,20M 26S
71,69,20M 26S
71,70,20M 26S
74,70,20M 16S
74,72,19M 44S
76,72,19M 35S
79,72,19M 10S
82,72,18M 30S
82,75,18M 8S
84,75,17M 49S
84,78,17M 29S
84,81,16M 26S
84,83,15M 39S
85,83,15M 25S
85,85,15M 10S
85,88,14M 50S
85,89,14M 21S
85,90,14M 21S
85,91,13M 17S
85,92,13M 17S
87,92,13M 0S
87,95,12M 52S
89,95,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
89,98,11M 50S
92,98,10M 46S
95,98,9M 12S
97,98,8M 13S
100,98,7M 34S
100,100,7M 21S
102,100,7M 9S
102,102,6M 59S
102,104,6M 35S
103,104,6M 23S
105,104,6M 5S
105,107,5M 43S
105,109,5M 10S
106,109,5M 3S
107,109,5M 3S
107,111,4M 49S
109,111,4M 18S
109,112,4M 5S
109,113,3M 19S
109,114,3M 19S
109,116,2M 51S
109,117,2M 32S
109,118,2M 32S
109,119,2M 12S
109,120,2M 12S
109,123,2M 0S
112,123,1M 11S
112,124,1M 5S
112,125,1M 5S
112,128,31S
End of 4th quarter,NA,0S
