Milwaukee,Brooklyn,time_rem
9-5,9-6,48M 0S
0,0,47M 46S
0,2,47M 35S
0,4,46M 27S
3,4,46M 12S
5,4,45M 54S
5,7,45M 42S
5,9,45M 12S
8,9,44M 59S
10,9,44M 36S
10,11,44M 25S
10,13,43M 55S
10,15,43M 13S
12,15,42M 57S
14,15,42M 15S
14,18,42M 3S
16,18,41M 44S
18,18,41M 25S
18,20,40M 43S
20,20,40M 8S
20,21,39M 55S
20,22,39M 55S
22,22,39M 38S
22,25,39M 28S
24,25,39M 20S
25,25,39M 20S
25,28,38M 49S
27,28,38M 26S
29,28,38M 4S
32,28,37M 33S
34,28,37M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
34,31,35M 46S
34,33,35M 17S
36,33,35M 0S
37,33,34M 32S
37,36,34M 20S
39,36,34M 8S
39,39,33M 53S
42,39,33M 41S
42,40,33M 21S
42,41,33M 21S
42,42,33M 0S
42,43,33M 0S
42,45,32M 26S
42,47,31M 49S
Jump ball: G. Antetokounmpo vs. K. Durant (D. DiVincenzo gains possession),NA,30M 44S
43,47,30M 29S
44,47,30M 29S
44,49,29M 37S
46,49,29M 27S
47,49,29M 1S
48,49,29M 1S
49,49,28M 38S
50,49,28M 38S
50,50,28M 18S
50,53,28M 1S
50,55,27M 20S
52,55,27M 1S
52,57,26M 29S
54,57,25M 39S
56,57,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,59,23M 37S
59,59,23M 24S
59,61,23M 7S
62,61,22M 58S
62,64,22M 37S
63,64,21M 54S
63,66,21M 44S
64,66,21M 31S
64,69,21M 17S
64,72,20M 57S
67,72,20M 36S
67,74,20M 17S
70,74,20M 8S
70,76,19M 46S
70,78,19M 15S
70,79,18M 55S
70,80,18M 55S
71,80,18M 39S
72,80,18M 39S
72,83,18M 25S
74,83,18M 10S
74,85,17M 24S
76,85,16M 57S
76,86,16M 39S
76,87,16M 39S
77,87,16M 26S
78,87,16M 26S
80,87,15M 19S
81,87,15M 19S
81,89,15M 4S
81,90,14M 48S
81,91,14M 48S
81,92,14M 23S
82,92,14M 9S
83,92,14M 9S
85,92,13M 33S
86,92,12M 57S
87,92,12M 57S
87,94,12M 39S
89,94,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
91,94,11M 49S
93,94,11M 14S
93,97,11M 1S
95,97,10M 42S
Jump ball: D. DiVincenzo vs. B. Brown (P. Connaughton gains possession),NA,10M 13S
98,97,10M 11S
98,99,9M 48S
98,100,9M 22S
98,101,9M 22S
100,101,9M 11S
100,103,8M 46S
100,105,8M 19S
100,107,7M 54S
102,107,7M 18S
103,107,7M 18S
103,108,6M 39S
105,108,6M 4S
105,110,5M 46S
107,110,5M 31S
110,110,5M 1S
110,112,4M 37S
113,112,4M 7S
113,114,3M 37S
115,114,3M 17S
117,114,2M 47S
117,116,2M 26S
117,118,1M 55S
119,118,1M 44S
119,119,1M 32S
121,119,1M 17S
121,122,1M 5S
123,122,55S
123,125,36S
End of 4th quarter,NA,0S
