Orlando,Detroit,time_rem
21-44,19-46,48M 0S
0,0,47M 43S
0,2,46M 47S
3,2,45M 56S
3,4,45M 46S
5,4,45M 34S
5,6,45M 17S
6,6,45M 6S
6,8,44M 51S
6,11,44M 29S
9,11,43M 55S
9,13,43M 7S
9,16,41M 27S
11,16,41M 4S
12,16,40M 39S
13,16,40M 39S
13,18,40M 26S
15,18,39M 47S
17,18,39M 27S
17,20,38M 16S
18,20,37M 53S
18,22,37M 34S
18,24,37M 5S
19,24,36M 38S
19,26,36M 18S
21,26,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,26,35M 34S
23,26,35M 34S
25,26,34M 55S
27,26,34M 41S
27,28,34M 28S
Jump ball: M. Wagner vs. S. Doumbouya (D. Bacon gains possession),NA,33M 32S
27,31,33M 7S
29,31,32M 51S
29,33,32M 37S
31,33,32M 20S
31,36,31M 58S
34,36,31M 37S
34,38,30M 57S
36,38,30M 37S
36,40,30M 22S
36,43,29M 57S
36,45,29M 32S
38,45,28M 33S
40,45,27M 56S
40,46,27M 37S
42,46,27M 18S
44,46,26M 13S
47,46,24M 57S
49,46,24M 27S
49,47,24M 7S
49,48,24M 7S
51,48,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,48,23M 14S
53,49,23M 1S
56,49,22M 52S
56,52,22M 34S
58,52,22M 12S
58,54,21M 39S
58,56,21M 12S
58,59,20M 47S
61,59,20M 33S
63,59,20M 5S
64,59,20M 5S
64,62,19M 46S
67,62,18M 16S
69,62,17M 52S
71,62,17M 32S
71,64,17M 8S
71,65,17M 8S
73,65,16M 49S
73,67,16M 40S
73,69,16M 6S
75,69,15M 42S
77,69,15M 13S
77,71,15M 3S
78,71,14M 50S
79,71,14M 50S
79,72,14M 35S
80,72,14M 17S
80,74,13M 39S
82,74,13M 17S
82,76,13M 5S
83,76,12M 53S
84,76,12M 53S
86,76,12M 25S
86,78,12M 7S
87,78,12M 1S
88,78,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,78,11M 40S
90,79,11M 23S
90,80,11M 23S
92,80,11M 4S
92,82,10M 26S
94,82,10M 11S
95,82,10M 11S
95,83,9M 58S
95,84,9M 58S
97,84,9M 39S
97,86,9M 19S
97,88,8M 44S
100,88,8M 18S
100,91,8M 4S
103,91,7M 47S
105,91,6M 20S
105,92,6M 3S
105,93,6M 3S
105,95,5M 31S
105,96,5M 31S
107,96,5M 1S
107,99,4M 18S
107,102,3M 50S
107,104,3M 29S
108,104,3M 17S
109,104,3M 17S
109,106,2M 49S
112,106,2M 19S
112,108,2M 4S
114,108,1M 45S
114,110,1M 27S
116,110,1M 5S
118,110,5S
119,110,5S
119,112,0S
End of 4th quarter,NA,0S
