Atlanta,Denver,time_rem
23-23,28-18,48M 0S
0,2,47M 41S
0,4,47M 2S
3,4,46M 37S
3,7,46M 17S
5,7,45M 39S
5,9,45M 25S
7,9,44M 58S
7,10,44M 51S
7,12,44M 20S
10,12,43M 59S
10,14,43M 45S
12,14,43M 32S
15,14,42M 59S
15,16,42M 12S
18,16,41M 10S
18,18,40M 51S
20,18,40M 34S
20,20,40M 23S
22,20,39M 59S
23,20,39M 42S
24,20,39M 42S
24,23,39M 26S
26,23,38M 59S
27,23,38M 59S
27,25,38M 47S
27,27,38M 24S
30,27,38M 8S
30,29,37M 51S
32,29,37M 16S
32,31,36M 51S
35,31,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,33,35M 44S
38,33,35M 25S
38,36,35M 2S
38,39,34M 2S
38,41,32M 38S
40,41,32M 12S
40,43,31M 56S
42,43,31M 43S
43,43,31M 43S
46,43,31M 16S
46,45,30M 23S
49,45,29M 43S
49,47,29M 19S
49,49,28M 32S
49,51,28M 2S
49,53,27M 24S
49,55,26M 52S
49,58,26M 36S
51,58,26M 18S
51,60,26M 11S
51,62,25M 47S
53,62,25M 34S
53,63,24M 33S
55,63,24M 24S
55,65,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,67,23M 49S
57,67,22M 41S
57,70,22M 24S
57,71,22M 24S
57,73,22M 3S
57,75,21M 29S
57,76,20M 48S
57,77,20M 48S
60,77,20M 37S
60,80,20M 20S
62,80,19M 54S
65,80,19M 24S
67,80,18M 29S
67,82,16M 59S
68,82,16M 39S
69,82,16M 39S
69,85,16M 31S
69,87,15M 59S
71,87,15M 4S
71,89,14M 45S
73,89,14M 27S
75,89,13M 54S
75,92,13M 31S
77,92,13M 14S
77,94,12M 47S
77,95,12M 47S
79,95,12M 28S
79,97,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,98,11M 42S
79,100,10M 29S
80,100,9M 40S
80,103,9M 24S
80,104,9M 0S
80,105,9M 0S
81,105,8M 3S
82,105,8M 3S
82,107,7M 50S
83,107,6M 37S
84,107,6M 37S
85,107,6M 3S
85,110,5M 20S
86,110,4M 59S
86,113,4M 44S
88,113,4M 25S
88,114,4M 14S
88,115,4M 14S
89,115,4M 0S
90,115,4M 0S
90,118,3M 48S
90,120,3M 16S
90,123,2M 40S
91,123,1M 34S
92,123,1M 34S
94,123,1M 22S
94,126,1M 12S
97,126,58S
99,126,39S
101,126,15S
102,126,15S
End of 4th quarter,NA,0S
