Golden State,Milwaukee,time_rem
0-2,1-1,48M 0S
0,0,47M 40S
1,0,46M 37S
2,0,46M 37S
2,3,46M 25S
4,3,46M 8S
4,5,45M 55S
6,5,45M 44S
6,6,45M 21S
6,7,45M 21S
8,7,45M 5S
8,10,44M 51S
8,12,44M 13S
11,12,44M 5S
11,14,43M 57S
11,15,43M 52S
11,16,43M 33S
12,16,43M 21S
15,16,42M 41S
15,17,42M 34S
15,18,42M 34S
15,21,41M 1S
17,21,40M 26S
17,24,40M 12S
18,24,40M 3S
19,24,39M 39S
20,24,39M 39S
21,24,39M 39S
21,26,39M 23S
21,29,38M 4S
22,29,37M 33S
23,29,37M 33S
23,31,37M 18S
25,31,37M 9S
25,33,36M 38S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,35,35M 39S
25,38,35M 19S
28,38,34M 52S
30,38,34M 33S
30,41,33M 57S
32,41,33M 35S
35,41,33M 8S
35,42,32M 39S
35,43,32M 39S
37,43,30M 53S
37,45,29M 37S
Jump ball: K. Middleton vs. A. Wiggins (J. Holiday gains possession),NA,28M 58S
40,45,28M 39S
40,47,28M 29S
40,49,27M 59S
41,49,27M 39S
41,51,27M 26S
44,51,27M 17S
44,54,27M 9S
46,54,26M 55S
46,56,26M 39S
49,56,26M 13S
49,58,26M 0S
49,60,25M 37S
50,60,25M 25S
51,60,25M 25S
51,63,25M 8S
51,64,25M 8S
53,64,25M 0S
53,66,24M 14S
56,66,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,68,23M 48S
56,70,23M 12S
58,70,22M 41S
60,70,22M 5S
60,71,21M 35S
60,72,21M 35S
62,72,21M 17S
64,72,20M 39S
64,74,20M 29S
64,76,20M 7S
64,77,19M 49S
64,78,19M 49S
64,80,19M 11S
66,80,18M 58S
68,80,18M 30S
68,81,18M 18S
68,84,17M 34S
70,84,17M 19S
71,84,17M 19S
71,86,16M 50S
71,89,16M 26S
71,91,15M 56S
73,91,15M 28S
73,93,15M 17S
73,96,14M 4S
76,96,13M 15S
76,97,12M 57S
76,98,12M 57S
76,100,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,103,11M 3S
76,106,10M 40S
76,109,9M 48S
76,111,9M 18S
77,111,9M 6S
78,111,9M 6S
79,111,8M 49S
80,111,8M 49S
80,113,8M 28S
80,115,8M 1S
82,115,7M 47S
84,115,7M 32S
84,116,7M 15S
84,117,7M 15S
87,117,7M 2S
87,119,6M 37S
87,122,6M 7S
87,125,5M 38S
87,127,5M 16S
88,127,5M 6S
89,127,5M 6S
91,127,4M 38S
91,130,3M 51S
93,130,3M 34S
93,132,3M 14S
93,135,2M 46S
95,135,2M 35S
95,138,2M 19S
96,138,1M 16S
98,138,1M 10S
99,138,19S
End of 4th quarter,NA,0S
