Denver,Memphis,time_rem
22-15,17-17,48M 0S
0,3,47M 42S
3,3,47M 13S
4,3,46M 49S
5,3,46M 49S
7,3,46M 34S
7,5,46M 19S
7,7,45M 43S
10,7,44M 44S
10,10,44M 34S
10,12,43M 39S
13,12,42M 52S
13,13,42M 28S
13,14,42M 28S
15,14,42M 11S
17,14,41M 55S
17,17,41M 39S
20,17,41M 19S
22,17,40M 43S
22,19,40M 3S
22,21,39M 30S
22,22,39M 30S
24,22,38M 28S
24,25,38M 3S
26,25,37M 12S
26,28,36M 48S
26,30,36M 25S
26,31,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,33,35M 37S
28,33,35M 17S
28,35,34M 31S
28,36,33M 59S
28,37,33M 59S
30,37,33M 16S
33,37,32M 56S
35,37,32M 1S
35,39,31M 37S
37,39,30M 3S
37,41,29M 39S
38,41,29M 30S
39,41,29M 30S
39,43,28M 31S
39,45,28M 3S
41,45,27M 49S
41,47,27M 36S
41,49,27M 4S
44,49,26M 52S
45,49,26M 30S
47,49,26M 7S
47,51,25M 58S
49,51,25M 42S
49,53,25M 25S
51,53,25M 3S
51,55,24M 49S
53,55,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,55,23M 9S
56,58,22M 51S
59,58,22M 33S
59,60,22M 18S
61,60,22M 4S
63,60,21M 8S
65,60,20M 13S
67,60,19M 47S
68,60,19M 2S
68,62,17M 42S
70,62,17M 26S
70,65,15M 50S
72,65,15M 36S
73,65,15M 10S
74,65,15M 10S
74,67,14M 52S
77,67,14M 40S
79,67,14M 6S
79,69,13M 53S
81,69,13M 39S
81,70,13M 24S
81,71,13M 24S
81,74,13M 0S
81,77,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
Jump ball: P. Dozier vs. D. Brooks (F. Campazzo gains possession),NA,11M 32S
81,80,9M 35S
83,80,8M 31S
83,82,8M 6S
86,82,6M 25S
88,82,5M 53S
88,85,5M 35S
90,85,5M 7S
90,88,4M 48S
92,88,4M 31S
92,91,4M 14S
92,93,3M 13S
95,93,2M 50S
95,95,2M 25S
98,95,2M 8S
98,97,1M 27S
101,97,1M 12S
101,99,58S
103,99,34S
103,102,30S
End of 4th quarter,NA,0S
