Boston,Memphis,time_rem
21-22,20-20,48M 0S
2,0,47M 48S
5,0,47M 6S
5,2,46M 28S
8,2,46M 9S
8,4,45M 57S
10,4,45M 7S
13,4,44M 42S
13,5,44M 27S
13,6,44M 27S
13,8,44M 4S
13,10,43M 40S
16,10,42M 17S
16,13,41M 59S
18,13,41M 42S
21,13,41M 19S
21,16,41M 0S
21,18,40M 14S
24,18,40M 6S
26,18,39M 32S
26,20,39M 11S
28,20,38M 18S
28,22,38M 8S
30,22,37M 50S
Jump ball: D. Melton vs. A. Nesmith (J. Winslow gains possession),NA,37M 18S
30,24,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,26,35M 46S
33,26,35M 31S
33,29,35M 10S
34,29,34M 51S
35,29,34M 51S
35,31,34M 33S
35,33,34M 12S
37,33,33M 57S
37,36,33M 9S
37,38,32M 39S
39,38,32M 20S
39,40,32M 13S
42,40,31M 45S
42,41,31M 31S
42,42,31M 31S
45,42,31M 16S
45,44,31M 2S
48,44,30M 47S
48,46,30M 31S
50,46,30M 14S
50,48,29M 56S
52,48,29M 44S
52,50,29M 25S
52,52,29M 1S
52,54,28M 26S
54,54,28M 2S
57,54,27M 3S
57,56,26M 47S
57,58,26M 17S
58,58,26M 8S
59,58,26M 8S
60,58,26M 8S
63,58,25M 13S
64,58,24M 49S
64,60,24M 33S
65,60,24M 14S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,62,23M 34S
65,64,23M 12S
68,64,22M 55S
68,66,22M 21S
69,66,22M 12S
69,68,22M 0S
69,70,21M 26S
69,72,20M 58S
69,74,20M 13S
71,74,19M 24S
71,76,18M 58S
72,76,18M 46S
72,78,18M 17S
72,81,17M 29S
75,81,17M 5S
77,81,16M 30S
79,81,16M 12S
79,83,15M 40S
81,83,15M 19S
81,85,15M 3S
83,85,14M 48S
83,87,14M 37S
83,90,13M 6S
86,90,12M 45S
86,93,12M 37S
86,94,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,94,11M 14S
88,97,10M 19S
89,97,10M 8S
89,99,9M 31S
91,99,9M 12S
92,99,9M 12S
92,101,8M 57S
95,101,8M 34S
95,104,8M 20S
96,104,7M 42S
98,104,6M 37S
98,107,6M 13S
101,107,5M 53S
101,110,5M 30S
103,110,5M 11S
105,110,4M 36S
107,110,3M 12S
107,111,3M 1S
109,111,2M 31S
111,111,1M 51S
111,113,1M 33S
111,115,1M 21S
113,115,1M 10S
113,117,52S
115,117,47S
117,117,7S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: R. Williams vs. J. Valančiūnas (J. Brown gains possession),NA,5M 0S
119,117,4M 42S
119,119,4M 22S
119,121,3M 23S
119,124,2M 38S
120,124,2M 18S
121,124,2M 18S
121,126,2M 5S
121,127,2M 5S
123,127,1M 53S
125,127,1M 23S
125,129,1M 6S
125,130,16S
125,131,9S
125,132,9S
126,132,7S
End of 1st overtime,NA,0S
