Denver,Phoenix,time_rem
0-2,2-0,48M 0S
2,0,47M 46S
2,2,47M 29S
2,5,46M 37S
2,8,45M 20S
4,8,44M 15S
4,10,43M 42S
6,10,43M 31S
7,10,43M 4S
8,10,43M 4S
8,12,42M 49S
8,13,42M 33S
10,13,42M 15S
10,15,41M 58S
12,15,41M 16S
12,17,41M 0S
14,17,40M 0S
14,20,39M 45S
16,20,39M 27S
16,22,39M 10S
18,22,38M 46S
21,22,37M 12S
21,25,36M 57S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,28,35M 42S
23,28,35M 18S
23,30,34M 52S
25,30,33M 38S
25,31,33M 18S
25,32,33M 18S
25,35,32M 32S
28,35,32M 12S
30,35,29M 49S
30,36,28M 39S
30,37,28M 39S
32,37,28M 23S
32,39,27M 57S
34,39,27M 45S
34,41,27M 30S
34,42,27M 30S
34,44,26M 42S
37,44,26M 22S
37,45,26M 5S
37,46,26M 5S
40,46,25M 53S
40,48,25M 34S
42,48,25M 11S
42,50,24M 52S
42,51,24M 7S
42,52,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,55,23M 34S
42,56,23M 3S
42,57,23M 3S
43,57,22M 46S
43,60,22M 33S
43,62,22M 3S
46,62,21M 53S
46,65,21M 15S
47,65,20M 10S
48,65,20M 10S
48,67,19M 50S
48,69,18M 57S
51,69,18M 46S
51,71,18M 30S
54,71,18M 16S
56,71,17M 41S
56,73,17M 26S
58,73,16M 58S
58,76,16M 3S
58,78,15M 30S
58,79,15M 30S
60,79,15M 10S
60,81,14M 22S
61,81,13M 38S
61,83,12M 42S
64,83,12M 32S
64,86,12M 13S
67,86,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,88,11M 26S
68,88,11M 5S
68,91,10M 49S
69,91,10M 34S
70,91,10M 34S
70,93,10M 6S
70,95,9M 50S
70,96,9M 50S
73,96,9M 30S
73,99,9M 8S
75,99,8M 52S
75,102,8M 36S
78,102,8M 20S
78,103,7M 17S
78,106,6M 32S
78,109,6M 6S
81,109,5M 52S
83,109,5M 27S
Jump ball: J. Smith vs. S. Harrison (E. Moore gains possession),NA,5M 7S
86,109,4M 50S
86,111,4M 33S
87,111,4M 21S
88,111,3M 38S
89,111,3M 38S
91,111,3M 3S
91,114,2M 47S
91,116,2M 22S
94,116,2M 8S
94,118,1M 51S
96,118,1M 37S
96,121,1M 19S
96,123,44S
98,123,18S
End of 4th quarter,NA,0S
