LA Clippers,Charlotte,time_rem
47-23,33-37,48M 0S
0,0,47M 41S
0,2,47M 22S
0,4,46M 43S
0,5,45M 49S
0,6,45M 49S
2,6,45M 36S
5,6,44M 48S
5,8,43M 56S
8,8,43M 37S
8,11,43M 27S
11,11,42M 43S
11,14,42M 11S
13,14,41M 52S
16,14,41M 17S
16,16,40M 52S
17,16,40M 2S
18,16,40M 2S
18,18,39M 16S
20,18,38M 44S
20,20,38M 4S
23,20,37M 49S
26,20,37M 17S
26,22,37M 2S
26,23,37M 2S
28,23,36M 48S
31,23,36M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,23,34M 20S
32,26,33M 59S
34,26,33M 46S
34,29,33M 37S
34,31,33M 11S
36,31,32M 52S
36,32,32M 43S
36,34,32M 16S
36,36,31M 10S
39,36,30M 52S
39,38,30M 10S
41,38,29M 38S
41,40,28M 10S
41,41,27M 41S
41,42,27M 41S
43,42,26M 27S
44,42,25M 55S
44,43,25M 36S
44,44,25M 36S
44,47,25M 16S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,47,23M 12S
47,49,22M 55S
48,49,22M 10S
49,49,22M 10S
49,51,21M 52S
49,53,21M 32S
51,53,21M 27S
51,55,21M 4S
54,55,20M 50S
54,58,20M 24S
56,58,20M 2S
59,58,19M 29S
59,60,19M 5S
61,60,18M 50S
63,60,18M 9S
63,62,17M 54S
66,62,17M 38S
66,65,17M 17S
67,65,16M 59S
67,67,16M 7S
70,67,15M 49S
73,67,15M 8S
73,69,14M 49S
73,71,14M 26S
75,71,14M 18S
76,71,14M 18S
76,73,13M 54S
77,73,13M 43S
78,73,13M 43S
78,75,13M 30S
81,75,13M 8S
81,76,12M 50S
81,77,12M 50S
84,77,12M 29S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,77,10M 56S
Jump ball: C. Zeller vs. N. Batum (P. Washington gains possession),NA,9M 22S
90,77,8M 56S
90,78,8M 40S
93,78,7M 55S
93,79,7M 29S
95,79,7M 17S
97,79,6M 42S
100,79,5M 34S
100,82,5M 25S
102,82,4M 25S
103,82,3M 53S
104,82,3M 53S
104,84,3M 37S
107,84,2M 46S
107,87,2M 17S
107,88,1M 28S
107,89,1M 28S
109,89,1M 11S
111,89,46S
111,90,36S
113,90,23S
End of 4th quarter,NA,0S
