Charlotte,Memphis,time_rem
12-14,10-10,48M 0S
2,0,47M 11S
2,3,46M 51S
4,3,46M 33S
4,6,45M 58S
6,6,45M 38S
8,6,45M 11S
9,6,45M 11S
11,6,44M 48S
12,6,44M 48S
12,9,44M 27S
14,9,43M 42S
14,12,43M 14S
17,12,43M 0S
17,14,42M 46S
20,14,42M 33S
22,14,41M 52S
24,14,41M 27S
24,16,41M 3S
26,16,40M 49S
26,18,40M 30S
28,18,40M 14S
28,20,40M 6S
28,23,39M 52S
30,23,39M 38S
30,25,39M 21S
32,25,39M 8S
33,25,38M 40S
34,25,38M 40S
34,28,38M 27S
34,31,37M 35S
35,31,36M 55S
36,31,36M 55S
36,33,36M 42S
38,33,36M 39S
38,34,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,34,35M 36S
41,36,35M 19S
41,39,35M 1S
44,39,34M 52S
44,42,34M 37S
45,42,34M 28S
45,45,33M 57S
47,45,32M 57S
47,46,32M 38S
50,46,32M 15S
52,46,31M 40S
52,47,31M 28S
52,49,31M 19S
52,51,30M 52S
54,51,30M 44S
54,53,30M 31S
57,53,30M 17S
59,53,29M 59S
59,55,29M 7S
59,58,27M 52S
59,60,26M 52S
61,60,26M 35S
61,61,26M 1S
61,62,26M 1S
61,63,25M 48S
62,63,25M 35S
63,63,25M 35S
63,65,25M 17S
65,65,25M 6S
65,67,24M 31S
65,70,24M 7S
68,70,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,73,23M 24S
70,73,23M 11S
70,76,22M 23S
73,76,22M 8S
73,79,21M 57S
73,82,21M 24S
76,82,21M 4S
76,85,20M 39S
76,87,19M 46S
78,87,19M 36S
78,90,18M 39S
78,91,18M 8S
78,92,17M 21S
78,93,17M 21S
78,95,16M 49S
78,96,16M 31S
78,97,16M 31S
80,97,16M 15S
80,99,15M 49S
83,99,13M 50S
83,101,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,103,10M 52S
85,103,10M 30S
87,103,10M 2S
87,104,9M 48S
87,105,9M 48S
87,107,9M 12S
90,107,8M 53S
92,107,8M 38S
94,107,8M 21S
94,110,8M 11S
96,110,7M 48S
96,112,7M 10S
96,114,6M 48S
98,114,6M 37S
98,116,6M 19S
98,119,5M 49S
98,121,4M 38S
101,121,4M 25S
103,121,3M 57S
103,124,3M 35S
106,124,3M 20S
106,127,2M 58S
108,127,2M 43S
110,127,1M 53S
113,127,50S
113,130,28S
114,130,22S
End of 4th quarter,NA,0S
