Milwaukee,Sacramento,time_rem
32-17,22-28,48M 0S
0,2,47M 37S
2,2,46M 36S
4,2,46M 14S
7,2,45M 52S
7,4,45M 34S
9,4,45M 13S
9,6,44M 57S
10,6,44M 43S
11,6,44M 43S
11,8,44M 30S
13,8,44M 2S
13,10,43M 52S
14,10,43M 41S
15,10,43M 41S
15,12,43M 22S
15,14,43M 0S
17,14,42M 32S
Jump ball: D. DiVincenzo vs. D. Fox (B. Lopez gains possession),NA,42M 8S
19,14,42M 2S
19,17,41M 7S
19,20,40M 16S
21,20,39M 57S
21,22,39M 39S
24,22,38M 53S
24,24,38M 5S
26,24,37M 40S
29,24,37M 14S
29,26,36M 32S
31,26,36M 25S
31,27,36M 2S
31,28,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,31,35M 5S
31,33,34M 38S
33,33,34M 24S
35,33,33M 2S
35,35,32M 25S
37,35,32M 1S
37,37,31M 13S
40,37,30M 58S
40,38,30M 40S
40,39,30M 40S
43,39,30M 31S
45,39,29M 41S
45,42,29M 29S
47,42,29M 11S
47,45,28M 52S
49,45,28M 34S
51,45,28M 10S
51,48,27M 38S
53,48,27M 26S
55,48,27M 6S
55,50,26M 18S
55,52,25M 50S
57,52,25M 44S
58,52,25M 15S
59,52,25M 15S
59,54,24M 59S
61,54,24M 42S
61,57,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,60,23M 15S
64,60,23M 3S
66,60,22M 27S
66,63,22M 16S
68,63,22M 1S
68,65,21M 21S
70,65,21M 13S
70,67,20M 52S
72,67,20M 41S
72,69,20M 34S
72,70,20M 34S
74,70,20M 24S
75,70,20M 24S
77,70,19M 41S
79,70,19M 12S
79,73,19M 0S
79,74,18M 37S
79,75,18M 37S
81,75,18M 22S
81,78,17M 41S
81,81,17M 11S
83,81,16M 55S
86,81,16M 19S
86,83,16M 3S
89,83,15M 21S
91,83,14M 58S
93,83,14M 27S
93,85,13M 48S
93,86,13M 17S
93,87,13M 17S
94,87,13M 2S
95,87,13M 2S
95,88,12M 49S
95,89,12M 49S
97,89,12M 28S
97,91,12M 5S
99,91,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,94,11M 46S
102,94,11M 29S
102,96,11M 7S
104,96,10M 56S
105,96,10M 34S
106,96,10M 34S
106,98,10M 20S
106,100,9M 55S
106,101,9M 55S
108,101,9M 38S
111,101,9M 1S
111,103,8M 48S
113,103,8M 36S
113,105,8M 3S
116,105,7M 35S
118,105,6M 48S
118,108,5M 22S
118,110,4M 41S
118,111,4M 41S
118,114,4M 9S
118,116,2M 42S
119,116,2M 23S
119,119,2M 6S
121,119,1M 32S
122,119,1M 32S
124,119,59S
124,121,25S
125,121,19S
126,121,19S
126,123,15S
127,123,9S
127,125,3S
128,125,2S
129,125,2S
129,128,0S
End of 4th quarter,NA,0S
