Sacramento,Houston,time_rem
3-2,1-2,48M 0S
0,0,47M 44S
3,0,47M 31S
3,2,47M 23S
3,4,46M 43S
3,5,46M 10S
3,7,46M 4S
4,7,45M 49S
5,7,45M 49S
8,7,45M 24S
8,9,44M 46S
8,12,44M 18S
10,12,43M 59S
12,12,43M 16S
12,13,43M 0S
12,14,43M 0S
14,14,42M 45S
16,14,41M 49S
16,17,40M 42S
18,17,40M 37S
18,19,40M 9S
20,19,39M 59S
23,19,39M 37S
23,21,39M 21S
25,21,39M 5S
25,24,38M 48S
26,24,38M 33S
27,24,38M 33S
27,25,38M 23S
27,26,38M 23S
28,26,38M 11S
28,29,37M 53S
28,31,37M 32S
31,31,37M 18S
33,31,36M 52S
33,32,36M 12S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,34,34M 46S
35,34,34M 41S
36,34,34M 41S
36,36,34M 24S
36,38,33M 48S
38,38,32M 20S
38,40,32M 6S
38,42,31M 45S
40,42,31M 32S
41,42,31M 5S
42,42,31M 5S
42,44,30M 42S
43,44,30M 20S
44,44,30M 20S
44,47,30M 7S
46,47,29M 31S
48,47,29M 5S
48,50,28M 36S
50,50,28M 8S
50,52,27M 48S
53,52,27M 39S
56,52,27M 9S
56,55,26M 46S
58,55,26M 33S
58,57,26M 19S
58,59,25M 52S
58,61,24M 55S
59,61,24M 46S
59,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,65,22M 59S
62,65,22M 39S
62,67,21M 58S
62,69,21M 27S
62,71,21M 13S
64,71,20M 47S
64,73,20M 39S
66,73,20M 17S
69,73,19M 52S
69,75,19M 40S
71,75,19M 21S
72,75,18M 46S
73,75,18M 46S
73,77,18M 35S
73,80,17M 43S
75,80,16M 48S
75,82,16M 35S
76,82,16M 18S
77,82,16M 18S
77,84,15M 59S
77,87,15M 28S
79,87,15M 11S
81,87,13M 49S
83,87,12M 54S
86,87,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,90,11M 42S
88,90,11M 21S
90,90,10M 59S
92,90,10M 40S
94,90,10M 13S
94,91,9M 31S
94,92,9M 31S
97,92,9M 17S
99,92,8M 24S
99,94,7M 48S
101,94,7M 29S
101,97,7M 17S
102,97,6M 56S
104,97,6M 21S
104,98,5M 53S
104,99,5M 53S
104,101,5M 28S
106,101,5M 2S
106,103,4M 52S
106,104,4M 52S
108,104,4M 28S
108,105,4M 0S
108,106,4M 0S
109,106,3M 48S
110,106,3M 48S
110,108,3M 23S
110,111,3M 5S
110,112,2M 20S
110,113,2M 20S
110,115,2M 0S
112,115,1M 52S
112,118,1M 1S
114,118,49S
117,118,22S
117,119,18S
117,120,18S
119,120,16S
119,121,15S
119,122,15S
End of 4th quarter,NA,0S
