Brooklyn,Milwaukee,time_rem
43-23,41-24,48M 0S
0,0,47M 45S
0,2,47M 40S
2,2,46M 52S
4,2,45M 31S
4,4,45M 18S
6,4,45M 5S
9,4,44M 47S
9,7,44M 29S
9,9,44M 9S
9,10,44M 9S
9,12,43M 26S
9,14,42M 58S
10,14,41M 36S
13,14,41M 16S
13,17,40M 52S
15,17,40M 44S
18,17,40M 23S
18,20,40M 11S
18,22,39M 43S
20,22,39M 21S
20,25,39M 10S
22,25,38M 50S
22,26,38M 40S
22,27,38M 40S
25,27,38M 27S
25,29,38M 13S
28,29,37M 37S
28,32,37M 21S
30,32,36M 32S
30,34,36M 10S
32,34,36M 3S
33,34,36M 3S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,34,35M 18S
37,34,34M 44S
37,36,34M 26S
40,36,34M 10S
40,39,33M 57S
42,39,33M 46S
42,41,33M 28S
42,42,33M 28S
43,42,33M 13S
44,42,33M 13S
44,44,32M 35S
46,44,32M 7S
48,44,31M 41S
48,46,30M 56S
48,48,30M 26S
51,48,30M 15S
51,51,29M 59S
52,51,29M 45S
52,54,29M 13S
52,55,28M 42S
55,55,28M 2S
55,58,27M 54S
55,59,27M 24S
55,60,27M 24S
55,62,25M 54S
55,63,25M 10S
55,64,25M 10S
56,64,25M 2S
56,66,24M 46S
58,66,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,66,22M 44S
63,66,22M 20S
63,69,21M 29S
63,70,20M 56S
63,71,20M 56S
64,71,20M 43S
65,71,20M 23S
65,73,20M 10S
68,73,20M 1S
68,74,19M 30S
68,75,19M 30S
68,78,18M 55S
71,78,18M 32S
73,78,17M 50S
73,81,16M 55S
76,81,16M 43S
78,81,16M 12S
78,82,15M 19S
78,83,15M 19S
78,85,14M 51S
80,85,14M 42S
81,85,14M 42S
84,85,14M 12S
84,88,13M 44S
85,88,13M 29S
86,88,13M 29S
89,88,12M 54S
89,90,12M 34S
92,90,12M 22S
92,91,12M 6S
92,92,12M 2S
93,92,12M 2S
94,92,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,92,11M 24S
97,94,11M 16S
97,95,11M 16S
100,95,10M 57S
100,97,10M 23S
103,97,10M 0S
103,99,9M 38S
103,102,9M 19S
103,104,8M 53S
104,104,8M 11S
104,106,7M 53S
104,108,7M 19S
104,110,6M 46S
104,112,6M 16S
104,113,6M 16S
104,115,5M 52S
106,115,5M 23S
106,117,4M 28S
108,117,3M 59S
108,119,3M 42S
111,119,3M 20S
113,119,2M 39S
113,121,2M 20S
116,121,1M 47S
116,122,1M 7S
117,122,1M 2S
118,122,1M 2S
118,123,51S
118,124,51S
End of 4th quarter,NA,0S
