Memphis,Houston,time_rem
15-15,11-21,48M 0S
0,0,47M 45S
2,0,47M 17S
2,2,47M 4S
2,3,47M 4S
4,3,46M 44S
4,6,46M 3S
6,6,44M 8S
6,8,43M 34S
6,10,42M 39S
8,10,42M 23S
8,11,42M 23S
10,11,42M 7S
10,13,41M 27S
12,13,40M 19S
14,13,39M 37S
15,13,39M 37S
15,16,39M 28S
16,16,38M 28S
18,16,37M 55S
21,16,37M 26S
23,16,36M 33S
23,17,36M 15S
23,18,36M 15S
25,18,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,20,34M 33S
27,20,34M 11S
27,22,34M 1S
27,23,34M 1S
28,23,33M 53S
29,23,33M 53S
32,23,33M 32S
32,25,33M 15S
32,27,32M 49S
32,28,32M 26S
34,28,31M 58S
36,28,31M 32S
38,28,31M 9S
41,28,30M 2S
41,29,29M 50S
43,29,29M 35S
43,30,29M 25S
43,31,29M 1S
43,32,29M 1S
45,32,28M 51S
48,32,28M 28S
48,33,28M 19S
50,33,27M 59S
52,33,27M 7S
53,33,27M 7S
54,33,26M 52S
55,33,26M 52S
55,34,26M 27S
55,35,26M 27S
57,35,26M 10S
57,37,25M 55S
59,37,25M 44S
61,37,24M 34S
63,37,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,37,23M 38S
67,37,23M 6S
67,39,22M 5S
69,39,21M 39S
69,41,21M 7S
71,41,20M 50S
71,42,20M 3S
71,43,20M 3S
72,43,19M 43S
73,43,19M 23S
74,43,19M 23S
76,43,19M 0S
78,43,18M 39S
78,45,18M 28S
78,46,18M 28S
78,48,17M 47S
80,48,17M 31S
80,49,17M 16S
80,50,17M 16S
82,50,16M 53S
84,50,16M 25S
86,50,16M 3S
88,50,15M 24S
Jump ball: B. Clarke vs. B. McLemore (X. Tillman gains possession),NA,15M 9S
88,51,14M 45S
88,52,14M 45S
89,52,14M 32S
90,52,14M 32S
90,54,14M 16S
91,54,13M 12S
92,54,13M 12S
92,55,12M 37S
92,56,12M 37S
95,56,12M 31S
95,57,12M 20S
95,58,12M 20S
95,60,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,62,11M 0S
98,62,10M 42S
100,62,10M 18S
100,63,9M 23S
101,63,9M 1S
103,63,8M 40S
103,65,8M 2S
103,67,7M 47S
106,67,7M 25S
108,67,6M 41S
108,68,6M 29S
108,69,6M 29S
Jump ball: R. Kurucs vs. K. Tillie (B. McLemore gains possession),NA,5M 44S
108,72,5M 38S
108,73,5M 20S
108,74,5M 20S
110,74,5M 9S
110,75,4M 47S
110,76,4M 47S
112,76,4M 37S
114,76,4M 7S
116,76,3M 39S
116,78,3M 24S
116,79,3M 24S
117,79,2M 45S
118,79,2M 45S
121,79,2M 19S
121,82,2M 2S
122,82,1M 57S
123,82,1M 57S
126,82,1M 38S
129,82,1M 5S
129,83,1M 3S
129,84,1M 3S
130,84,41S
131,84,41S
132,84,32S
133,84,32S
End of 4th quarter,NA,0S
