Oklahoma City,LA Clippers,time_rem
6-9,13-4,48M 0S
0,2,47M 46S
2,2,47M 19S
2,4,46M 28S
4,4,46M 13S
4,7,45M 57S
4,9,45M 48S
6,9,45M 38S
6,12,45M 9S
6,14,44M 38S
7,14,44M 28S
7,15,43M 42S
7,16,43M 42S
9,16,42M 46S
9,19,41M 27S
11,19,41M 11S
11,21,40M 41S
11,23,40M 9S
11,25,39M 37S
12,25,39M 30S
13,25,39M 30S
15,25,39M 11S
15,27,38M 58S
15,29,38M 45S
17,29,37M 40S
19,29,37M 32S
19,32,37M 15S
19,34,36M 29S
19,36,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,36,35M 24S
24,36,34M 33S
24,38,34M 19S
27,38,34M 2S
27,40,33M 23S
29,40,32M 54S
29,41,30M 26S
31,41,29M 56S
33,41,29M 0S
33,43,28M 45S
35,43,28M 12S
35,46,27M 53S
36,46,27M 41S
37,46,27M 41S
37,47,27M 32S
37,48,27M 32S
37,50,26M 33S
39,50,26M 12S
39,53,25M 39S
41,53,25M 25S
42,53,25M 8S
43,53,25M 8S
45,53,24M 41S
45,56,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,56,23M 12S
49,56,22M 51S
49,58,22M 29S
51,58,22M 20S
51,60,21M 56S
54,60,21M 39S
54,63,21M 25S
56,63,20M 54S
56,66,20M 36S
58,66,20M 23S
58,68,20M 3S
61,68,19M 48S
61,71,18M 38S
63,71,18M 18S
63,72,17M 59S
65,72,17M 30S
67,72,16M 54S
67,75,15M 54S
67,77,15M 20S
69,77,14M 40S
69,79,14M 12S
69,81,13M 30S
70,81,13M 22S
71,81,13M 22S
73,81,12M 43S
73,83,12M 26S
73,85,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
73,87,11M 34S
75,87,11M 15S
75,88,11M 1S
75,89,11M 1S
77,89,10M 36S
77,91,10M 14S
79,91,9M 44S
79,94,9M 35S
81,94,9M 19S
83,94,7M 52S
83,97,5M 19S
83,100,4M 32S
85,100,4M 15S
85,102,3M 50S
88,102,3M 41S
91,102,2M 56S
Jump ball: G. Hill vs. I. Zubac (S. Gilgeous,Alexander gains possession),2M 20S
94,102,2M 12S
96,102,1M 56S
96,104,42S
98,104,36S
98,105,22S
98,106,17S
100,106,12S
100,107,10S
100,108,10S
End of 4th quarter,NA,0S
