Utah,Golden State,time_rem
50-19,36-33,48M 0S
3,0,47M 45S
3,3,47M 22S
5,3,47M 11S
6,3,47M 11S
6,4,46M 56S
Jump ball: A. Wiggins vs. B. Bogdanović (S. Curry gains possession),NA,46M 31S
6,7,46M 27S
9,7,46M 16S
11,7,45M 34S
14,7,44M 48S
14,9,44M 22S
14,11,43M 42S
17,11,43M 22S
17,12,42M 15S
17,14,41M 43S
17,17,41M 26S
17,19,40M 51S
17,20,40M 51S
20,20,40M 28S
22,20,40M 7S
22,22,39M 55S
22,24,39M 19S
24,24,39M 3S
26,24,38M 25S
26,26,37M 51S
27,26,37M 38S
28,26,37M 38S
28,28,37M 26S
30,28,37M 14S
30,31,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,33,35M 25S
30,35,34M 53S
32,35,34M 36S
35,35,33M 59S
35,37,33M 11S
37,37,32M 57S
37,39,32M 36S
39,39,32M 16S
41,39,31M 19S
41,41,31M 2S
41,42,31M 2S
43,42,30M 11S
43,44,29M 57S
45,44,29M 41S
45,46,29M 30S
47,46,28M 8S
47,47,28M 1S
47,48,28M 1S
47,49,28M 1S
47,52,26M 44S
47,54,25M 20S
48,54,24M 57S
49,54,24M 57S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,54,23M 24S
51,57,23M 8S
53,57,22M 51S
55,57,21M 33S
55,59,21M 12S
57,59,20M 34S
59,59,20M 11S
59,60,19M 13S
59,61,19M 13S
59,63,18M 40S
Jump ball: S. Curry vs. D. Favors (M. Mulder gains possession),NA,18M 4S
59,65,18M 0S
60,65,17M 42S
61,65,17M 42S
61,66,17M 34S
61,67,17M 34S
61,68,17M 34S
63,68,17M 11S
63,71,16M 55S
63,73,15M 57S
63,74,15M 57S
66,74,15M 51S
67,74,15M 51S
67,77,15M 32S
67,78,14M 48S
67,79,14M 48S
69,79,14M 35S
69,82,14M 19S
71,82,13M 56S
71,84,13M 44S
72,84,13M 20S
72,86,12M 51S
75,86,12M 45S
75,89,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,92,11M 34S
76,92,11M 22S
77,92,11M 22S
77,93,11M 1S
77,94,11M 1S
80,94,10M 17S
82,94,9M 50S
83,94,9M 50S
83,96,9M 34S
83,97,9M 8S
83,98,9M 8S
84,98,8M 30S
85,98,8M 30S
85,101,8M 21S
85,103,8M 1S
87,103,7M 53S
87,104,7M 39S
87,105,7M 39S
88,105,7M 27S
89,105,7M 27S
92,105,6M 55S
92,108,6M 29S
94,108,6M 18S
95,108,6M 18S
98,108,5M 46S
98,110,5M 31S
101,110,5M 10S
101,112,4M 47S
103,112,4M 20S
104,112,3M 1S
105,112,3M 1S
107,112,2M 37S
109,112,2M 14S
110,112,2M 14S
112,112,1M 47S
113,112,1M 47S
113,114,1M 33S
116,114,1M 11S
116,117,14S
116,118,5S
116,119,5S
End of 4th quarter,NA,0S
