Chicago,San Antonio,time_rem
19-25,23-20,48M 0S
0,0,47M 42S
2,0,47M 26S
2,2,47M 8S
5,2,46M 46S
5,5,46M 32S
7,5,46M 13S
7,7,46M 0S
7,9,45M 35S
7,11,45M 10S
7,13,44M 43S
9,13,44M 27S
9,15,43M 23S
9,17,42M 24S
9,19,41M 35S
11,19,41M 3S
11,21,40M 22S
11,23,39M 57S
13,23,39M 41S
13,26,39M 27S
16,26,38M 52S
16,28,38M 35S
18,28,38M 18S
20,28,37M 53S
20,30,37M 27S
20,31,37M 3S
20,33,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
22,33,35M 42S
22,35,35M 29S
22,38,34M 27S
24,38,34M 3S
24,40,33M 35S
26,40,33M 23S
27,40,33M 23S
27,41,33M 11S
27,42,33M 11S
27,44,32M 12S
Jump ball: D. Eubanks vs. L. Markkanen (D. Murray gains possession),NA,31M 35S
27,46,31M 26S
27,49,30M 35S
27,51,30M 5S
27,54,29M 27S
27,56,28M 56S
27,58,28M 32S
30,58,28M 8S
31,58,27M 49S
33,58,27M 14S
33,60,26M 31S
33,61,26M 31S
35,61,26M 2S
35,63,25M 39S
37,63,25M 22S
39,63,24M 57S
39,65,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
39,67,23M 13S
39,69,22M 43S
40,69,22M 33S
41,69,22M 33S
41,71,21M 54S
43,71,21M 35S
43,73,21M 21S
46,73,21M 2S
46,75,20M 48S
48,75,20M 30S
48,77,20M 16S
48,78,20M 16S
48,81,19M 37S
48,83,19M 3S
50,83,18M 46S
50,85,18M 3S
52,85,17M 49S
53,85,17M 49S
55,85,17M 14S
55,87,16M 57S
55,90,16M 27S
55,91,15M 56S
57,91,15M 37S
60,91,15M 18S
60,94,15M 1S
62,94,14M 46S
63,94,14M 19S
64,94,14M 19S
65,94,13M 33S
66,94,13M 33S
69,94,13M 6S
69,95,12M 51S
69,96,12M 51S
71,96,12M 33S
73,96,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,96,11M 39S
75,97,11M 26S
75,98,10M 53S
77,98,10M 39S
77,101,9M 56S
79,101,9M 21S
80,101,9M 21S
82,101,8M 45S
84,101,8M 25S
85,101,8M 25S
85,102,7M 53S
85,103,7M 53S
88,103,7M 38S
88,104,7M 25S
88,105,7M 25S
90,105,6M 50S
92,105,6M 15S
93,105,6M 15S
93,107,5M 57S
95,107,5M 42S
98,107,5M 13S
98,109,4M 51S
98,110,4M 51S
98,112,4M 19S
98,113,3M 43S
98,114,3M 23S
100,114,3M 6S
100,115,2M 57S
102,115,2M 42S
102,118,2M 3S
102,120,1M 23S
103,120,1M 3S
104,120,41S
End of 4th quarter,NA,0S
