New York,Philadelphia,time_rem
20-21,28-12,48M 0S
0,0,47M 38S
3,0,47M 17S
3,2,46M 51S
6,2,45M 46S
8,2,44M 38S
8,4,43M 8S
10,4,42M 11S
10,6,41M 22S
10,9,40M 26S
10,10,40M 1S
10,12,39M 46S
12,12,39M 23S
12,14,38M 48S
14,14,38M 35S
17,14,38M 7S
17,16,37M 36S
17,18,37M 0S
19,18,36M 50S
19,20,36M 41S
21,20,36M 24S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,22,35M 20S
24,22,35M 2S
25,22,35M 2S
25,24,34M 47S
26,24,34M 32S
27,24,34M 32S
27,25,34M 16S
29,25,33M 40S
29,26,32M 53S
29,27,32M 53S
31,27,32M 37S
31,29,31M 45S
33,29,31M 12S
33,30,31M 4S
33,31,31M 4S
35,31,30M 52S
35,33,30M 41S
36,33,30M 29S
37,33,30M 1S
39,33,29M 34S
39,36,29M 6S
41,36,28M 44S
41,39,28M 29S
41,41,27M 59S
43,41,27M 45S
46,41,27M 21S
48,41,27M 0S
48,43,26M 13S
49,43,25M 52S
50,43,25M 52S
52,43,25M 35S
53,43,25M 35S
53,46,25M 20S
55,46,24M 56S
56,46,24M 39S
56,47,24M 29S
56,48,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,48,23M 42S
58,51,23M 31S
58,52,23M 31S
59,52,23M 13S
59,55,22M 52S
62,55,21M 51S
62,57,21M 37S
64,57,21M 14S
66,57,20M 57S
66,59,20M 44S
68,59,20M 32S
68,61,20M 8S
70,61,19M 57S
71,61,19M 57S
71,64,19M 40S
71,67,19M 5S
71,69,17M 46S
74,69,16M 55S
74,71,16M 41S
76,71,15M 46S
78,71,15M 5S
78,73,14M 30S
Jump ball: R. Barrett vs. S. Milton (J. Randle gains possession),NA,14M 17S
80,73,13M 39S
82,73,12M 44S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,75,11M 37S
82,77,10M 52S
84,77,10M 37S
84,80,9M 34S
87,80,9M 8S
87,83,8M 33S
87,85,6M 25S
89,85,6M 11S
89,87,5M 57S
89,90,5M 3S
89,91,4M 22S
89,92,4M 22S
90,92,3M 59S
91,92,3M 18S
92,92,3M 18S
92,94,2M 26S
92,96,1M 49S
94,96,1M 11S
94,97,15S
94,98,7S
94,99,7S
96,99,2S
End of 4th quarter,NA,0S
