Toronto,Memphis,time_rem
11-13,9-10,48M 0S
2,0,47M 42S
4,0,47M 12S
7,0,46M 48S
7,2,46M 5S
9,2,45M 23S
9,4,45M 8S
10,4,44M 53S
11,4,44M 53S
11,5,44M 38S
11,6,44M 38S
14,6,44M 21S
14,9,43M 58S
14,10,43M 25S
16,10,43M 17S
16,12,43M 4S
19,12,42M 53S
19,13,42M 37S
19,14,42M 37S
19,17,42M 2S
19,19,41M 38S
22,19,41M 13S
22,22,40M 52S
24,22,40M 29S
24,23,40M 18S
24,24,40M 18S
24,25,39M 50S
24,26,39M 50S
24,27,39M 24S
24,28,39M 24S
25,28,39M 11S
26,28,39M 11S
Jump ball: X. Tillman vs. Y. Watanabe (X. Tillman gains possession),NA,38M 42S
28,28,38M 26S
29,28,38M 1S
30,28,38M 1S
30,31,37M 51S
32,31,37M 35S
32,34,37M 23S
35,34,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,34,34M 29S
38,35,33M 47S
38,36,33M 47S
40,36,33M 25S
40,38,32M 43S
40,41,31M 47S
43,41,31M 25S
43,43,31M 8S
46,43,30M 40S
46,46,30M 25S
49,46,29M 57S
50,46,29M 33S
50,48,29M 13S
53,48,28M 55S
53,51,28M 41S
56,51,28M 22S
56,53,28M 8S
59,53,27M 50S
59,55,27M 26S
59,58,27M 0S
59,59,26M 28S
59,60,26M 28S
59,61,26M 19S
59,62,26M 3S
59,63,26M 3S
62,63,25M 40S
62,65,25M 16S
63,65,25M 9S
63,67,24M 54S
63,68,24M 40S
63,69,24M 17S
63,70,24M 17S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,70,23M 15S
65,73,22M 54S
65,75,22M 34S
68,75,22M 2S
68,77,21M 47S
70,77,21M 32S
70,79,21M 13S
72,79,20M 41S
73,79,20M 41S
73,81,20M 25S
75,81,20M 9S
77,81,19M 20S
77,84,19M 1S
79,84,18M 38S
79,87,17M 52S
79,88,17M 31S
81,88,17M 8S
82,88,17M 8S
82,90,16M 55S
85,90,16M 33S
85,92,15M 56S
85,94,15M 2S
85,95,15M 2S
86,95,14M 45S
87,95,14M 45S
90,95,14M 20S
91,95,13M 42S
92,95,13M 42S
94,95,13M 29S
94,96,12M 56S
94,97,12M 56S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,97,11M 36S
97,97,10M 58S
98,97,10M 58S
101,97,10M 29S
104,97,9M 46S
104,99,9M 29S
105,99,9M 2S
106,99,9M 2S
107,99,8M 46S
108,99,8M 46S
108,100,8M 35S
111,100,8M 11S
113,100,7M 40S
113,102,7M 26S
113,104,6M 56S
113,106,6M 34S
115,106,5M 35S
115,108,5M 11S
116,108,4M 58S
117,108,4M 58S
120,108,4M 28S
120,111,3M 20S
122,111,3M 0S
124,111,1M 57S
124,113,1M 33S
125,113,1M 8S
126,113,1M 8S
128,113,38S
End of 4th quarter,NA,0S
