LA Lakers,Dallas,time_rem
35-24,32-26,48M 0S
0,0,47M 42S
0,1,47M 42S
3,1,47M 21S
3,3,47M 7S
5,3,46M 53S
6,3,46M 23S
8,3,46M 14S
9,3,45M 56S
10,3,45M 56S
10,6,45M 40S
12,6,45M 33S
14,6,45M 14S
14,8,44M 28S
14,10,44M 7S
14,12,43M 34S
14,13,43M 34S
15,13,43M 24S
16,13,43M 24S
16,15,42M 49S
16,17,42M 29S
16,19,42M 7S
18,19,41M 20S
20,19,40M 51S
20,22,40M 30S
22,22,39M 44S
22,23,39M 29S
22,25,38M 50S
24,25,38M 0S
24,26,37M 16S
24,27,37M 16S
26,27,36M 53S
26,28,36M 38S
26,29,36M 38S
26,31,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,31,35M 40S
28,33,35M 9S
30,33,34M 41S
30,35,34M 26S
32,35,34M 11S
32,36,33M 58S
32,37,33M 58S
35,37,33M 46S
35,40,33M 25S
35,41,33M 5S
35,42,33M 5S
35,43,32M 40S
35,44,32M 40S
35,45,32M 6S
35,46,31M 33S
37,46,31M 19S
37,48,31M 8S
38,48,30M 44S
39,48,30M 44S
39,49,30M 0S
41,49,29M 43S
41,51,29M 16S
43,51,28M 4S
43,53,27M 43S
45,53,27M 23S
46,53,26M 52S
47,53,26M 52S
47,55,26M 28S
47,57,26M 1S
49,57,25M 37S
49,59,25M 20S
49,62,24M 48S
50,62,24M 3S
51,62,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,62,23M 41S
55,62,23M 32S
56,62,23M 18S
57,62,23M 18S
59,62,22M 49S
62,62,22M 25S
62,65,22M 8S
62,67,21M 46S
62,68,21M 14S
62,69,21M 14S
62,72,20M 48S
64,72,20M 29S
66,72,20M 3S
69,72,19M 46S
69,74,19M 33S
71,74,19M 18S
71,76,19M 5S
74,76,18M 27S
77,76,17M 42S
79,76,17M 0S
79,77,16M 46S
79,78,16M 46S
81,78,16M 25S
81,79,16M 17S
83,79,15M 59S
83,81,15M 40S
83,83,14M 41S
86,83,14M 33S
86,85,14M 10S
88,85,13M 56S
88,87,13M 45S
88,88,13M 17S
88,89,13M 17S
90,89,13M 2S
90,92,12M 41S
90,94,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,96,11M 44S
90,99,10M 33S
92,99,10M 20S
92,101,9M 38S
94,101,8M 59S
94,103,8M 42S
96,103,8M 23S
98,103,7M 53S
98,105,7M 10S
101,105,6M 7S
101,107,5M 47S
101,108,4M 49S
101,110,4M 4S
103,110,3M 32S
106,110,3M 0S
106,113,2M 2S
108,113,1M 9S
108,114,31S
110,114,19S
110,115,18S
End of 4th quarter,NA,0S
