Sacramento,Portland,time_rem
14-22,21-14,48M 0S
2,0,47M 35S
4,0,47M 5S
4,2,46M 50S
6,2,46M 1S
8,2,45M 30S
8,5,45M 21S
10,5,44M 45S
10,7,44M 25S
13,7,43M 46S
13,10,43M 26S
15,10,42M 55S
16,10,42M 29S
16,12,42M 6S
16,14,41M 48S
16,15,41M 16S
16,16,41M 16S
18,16,40M 59S
21,16,40M 41S
21,18,40M 16S
23,18,39M 39S
23,20,39M 16S
23,23,38M 43S
25,23,38M 18S
25,25,38M 5S
27,25,37M 39S
27,28,37M 26S
27,29,36M 44S
27,30,36M 44S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,32,35M 46S
27,33,35M 46S
29,33,35M 28S
31,33,34M 56S
31,36,34M 36S
34,36,33M 29S
34,37,33M 12S
34,38,33M 12S
34,39,33M 12S
36,39,32M 53S
38,39,32M 21S
40,39,31M 57S
40,42,31M 39S
40,44,30M 57S
42,44,30M 45S
42,47,30M 29S
44,47,30M 14S
46,47,29M 29S
46,49,29M 11S
48,49,28M 59S
50,49,28M 13S
51,49,28M 13S
Jump ball: R. Covington vs. N. Bjelica (D. Lillard gains possession),NA,27M 15S
51,50,27M 9S
51,51,27M 9S
51,53,26M 46S
54,53,26M 28S
54,55,26M 9S
56,55,25M 25S
56,57,25M 2S
56,59,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,62,23M 47S
59,62,23M 7S
61,62,22M 35S
61,65,22M 15S
62,65,21M 46S
63,65,21M 46S
65,65,21M 16S
65,67,21M 3S
65,69,20M 34S
65,70,20M 34S
67,70,20M 22S
67,73,20M 6S
69,73,19M 56S
72,73,19M 32S
72,75,18M 34S
72,76,17M 54S
72,77,17M 54S
74,77,17M 29S
76,77,17M 0S
76,79,16M 44S
77,79,16M 15S
78,79,16M 15S
78,81,15M 58S
81,81,15M 49S
81,83,15M 34S
83,83,15M 25S
83,86,14M 54S
85,86,14M 34S
85,89,13M 41S
88,89,13M 13S
90,89,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
92,89,11M 35S
92,91,11M 14S
92,92,10M 44S
94,92,9M 21S
95,92,8M 49S
97,92,8M 21S
97,94,8M 6S
97,96,7M 34S
99,96,7M 22S
100,96,7M 22S
101,96,7M 7S
101,97,6M 47S
101,98,6M 47S
103,98,5M 41S
103,101,5M 22S
Jump ball: H. Barnes vs. D. Lillard (C. Joseph gains possession),NA,5M 1S
103,103,4M 39S
105,103,4M 21S
108,103,3M 49S
108,105,3M 34S
108,107,3M 0S
108,109,2M 38S
108,112,1M 57S
108,115,1M 15S
110,115,1M 7S
110,116,35S
110,117,35S
112,117,25S
112,118,19S
112,119,19S
115,119,13S
118,119,6S
118,120,4S
118,121,4S
119,121,4S
119,122,2S
119,123,2S
End of 4th quarter,NA,0S
