Milwaukee,San Antonio,time_rem
43-25,33-35,48M 0S
3,0,47M 43S
3,1,47M 28S
3,2,47M 28S
5,2,47M 15S
5,4,46M 58S
8,4,46M 54S
8,6,46M 33S
8,8,46M 14S
8,9,46M 14S
9,9,46M 5S
11,9,45M 41S
11,12,45M 10S
13,12,45M 1S
14,12,45M 1S
14,14,44M 18S
14,16,43M 58S
14,17,43M 39S
14,18,43M 39S
16,18,43M 25S
16,20,43M 8S
18,20,42M 49S
18,22,42M 41S
18,23,42M 41S
21,23,42M 31S
21,25,42M 19S
23,25,42M 9S
26,25,41M 45S
26,28,41M 34S
26,31,41M 7S
29,31,40M 50S
31,31,38M 58S
31,33,38M 43S
31,34,38M 43S
33,34,38M 32S
33,37,38M 13S
36,37,37M 57S
36,39,37M 28S
36,42,37M 0S
36,45,36M 39S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,47,35M 21S
38,47,35M 7S
38,49,34M 25S
41,49,34M 10S
41,52,33M 25S
42,52,33M 9S
43,52,33M 9S
43,54,32M 57S
45,54,32M 35S
45,57,32M 20S
45,59,31M 31S
47,59,31M 12S
47,62,31M 0S
47,65,30M 41S
49,65,30M 14S
49,67,29M 58S
49,69,29M 31S
49,72,29M 0S
51,72,28M 44S
51,74,28M 32S
53,74,28M 22S
56,74,27M 52S
56,76,27M 34S
59,76,27M 26S
59,79,26M 46S
59,81,26M 17S
59,83,25M 33S
61,83,25M 20S
61,84,25M 11S
64,84,25M 1S
64,86,24M 48S
64,87,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,89,23M 13S
66,89,22M 31S
68,89,21M 59S
68,91,21M 10S
70,91,20M 59S
70,93,20M 40S
72,93,20M 6S
72,94,19M 52S
74,94,19M 38S
74,95,19M 25S
74,96,19M 25S
74,98,18M 57S
76,98,18M 41S
76,101,18M 26S
77,101,18M 12S
78,101,18M 12S
80,101,17M 51S
82,101,17M 34S
84,101,17M 5S
84,103,16M 15S
85,103,16M 1S
86,103,16M 1S
87,103,15M 42S
89,103,15M 20S
89,106,14M 41S
91,106,13M 58S
91,108,13M 41S
91,111,13M 18S
93,111,12M 56S
93,113,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,113,11M 44S
95,113,11M 44S
95,115,11M 24S
95,117,10M 54S
96,117,10M 45S
97,117,10M 45S
97,119,10M 21S
97,120,10M 5S
100,120,9M 17S
100,122,9M 0S
102,122,8M 47S
102,125,8M 27S
104,125,8M 17S
106,125,7M 49S
106,126,7M 3S
106,127,7M 3S
106,129,6M 37S
106,131,6M 5S
106,132,5M 50S
106,133,5M 50S
108,133,5M 29S
108,135,5M 14S
110,135,5M 4S
111,135,4M 46S
111,137,4M 27S
113,137,4M 13S
114,137,3M 58S
115,137,3M 58S
115,139,3M 38S
118,139,3M 21S
120,139,3M 3S
120,142,2M 48S
123,142,2M 7S
123,144,1M 46S
124,144,1M 12S
125,144,1M 12S
125,146,34S
End of 4th quarter,NA,0S
