Boston,Brooklyn,time_rem
0-2,2-0,48M 0S
0,0,47M 44S
0,1,47M 44S
0,2,47M 44S
2,2,47M 28S
2,5,47M 15S
3,5,47M 4S
4,5,47M 4S
4,7,46M 46S
7,7,46M 32S
7,9,46M 5S
9,9,45M 56S
10,9,45M 56S
10,11,44M 47S
12,11,44M 24S
12,14,44M 9S
13,14,43M 54S
13,16,43M 37S
13,19,43M 17S
13,22,42M 49S
13,25,42M 18S
13,27,41M 51S
Jump ball: J. Harden vs. M. Smart (K. Durant gains possession),NA,40M 58S
13,29,40M 57S
16,29,40M 37S
18,29,39M 43S
20,29,39M 5S
20,31,38M 43S
22,31,38M 29S
23,31,38M 13S
24,31,38M 13S
24,33,37M 56S
24,35,37M 10S
24,38,36M 44S
25,38,36M 35S
26,38,36M 35S
26,40,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,43,34M 43S
26,46,34M 13S
26,47,34M 13S
28,47,33M 38S
29,47,32M 51S
30,47,32M 51S
30,50,32M 22S
30,52,31M 44S
30,53,31M 44S
32,53,31M 29S
32,56,30M 40S
32,58,30M 9S
34,58,29M 41S
35,58,29M 10S
36,58,29M 10S
36,61,28M 59S
38,61,28M 47S
38,63,28M 28S
38,64,27M 50S
38,65,27M 50S
41,65,27M 36S
41,67,27M 23S
43,67,26M 36S
43,68,26M 25S
43,69,26M 25S
45,69,26M 14S
47,69,25M 8S
47,71,24M 46S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,71,23M 47S
49,73,23M 20S
51,73,23M 5S
51,76,22M 54S
53,76,22M 39S
55,76,22M 17S
55,78,21M 56S
55,79,21M 33S
55,80,21M 33S
55,82,20M 38S
55,83,20M 15S
55,84,20M 15S
55,87,19M 50S
58,87,19M 29S
61,87,19M 6S
61,89,18M 48S
61,90,18M 48S
61,91,18M 23S
61,92,18M 23S
61,94,17M 51S
63,94,17M 36S
63,95,17M 16S
63,96,17M 16S
65,96,17M 5S
68,96,16M 37S
71,96,15M 54S
71,98,15M 50S
74,98,15M 42S
74,99,15M 30S
74,100,15M 30S
77,100,15M 17S
77,103,15M 0S
80,103,14M 50S
80,105,14M 34S
81,105,14M 27S
81,107,13M 52S
81,109,13M 22S
82,109,13M 16S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,110,11M 28S
82,111,11M 28S
84,111,10M 53S
87,111,10M 13S
87,114,9M 49S
88,114,9M 14S
89,114,9M 14S
91,114,8M 8S
91,117,7M 56S
93,117,7M 5S
95,117,6M 42S
95,119,5M 0S
97,119,4M 48S
97,122,4M 11S
99,122,3M 33S
99,124,3M 14S
100,124,3M 6S
102,124,2M 27S
102,126,1M 59S
102,128,1M 49S
104,128,1M 36S
105,128,1M 36S
105,130,1M 22S
108,130,48S
End of 4th quarter,NA,0S
