Houston,New Orleans,time_rem
11-13,11-12,48M 0S
0,3,47M 41S
1,3,47M 22S
1,6,47M 9S
3,6,46M 34S
6,6,46M 15S
6,8,45M 58S
8,8,45M 30S
8,9,45M 6S
8,10,45M 6S
10,10,44M 46S
10,12,44M 36S
10,14,44M 18S
Jump ball: S. Adams vs. J. Tate (J. Hart gains possession),NA,43M 13S
12,14,42M 46S
12,16,42M 11S
14,16,41M 11S
17,16,40M 55S
19,16,39M 36S
19,18,39M 18S
21,18,38M 40S
21,19,38M 5S
21,20,38M 5S
22,20,37M 51S
23,20,37M 51S
23,21,37M 30S
23,22,37M 30S
23,24,37M 15S
25,24,37M 1S
25,25,36M 48S
25,26,36M 48S
25,28,36M 34S
25,30,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,30,35M 41S
27,32,35M 19S
27,34,34M 41S
29,34,34M 35S
29,35,34M 27S
29,36,34M 27S
31,36,34M 7S
34,36,33M 6S
34,38,32M 14S
36,38,31M 48S
36,40,31M 32S
37,40,31M 5S
37,42,30M 44S
39,42,30M 14S
39,43,30M 5S
39,44,30M 5S
41,44,29M 50S
43,44,28M 45S
43,47,28M 24S
43,49,27M 47S
Jump ball: S. Adams vs. D. Cousins (E. Bledsoe gains possession),NA,27M 16S
43,52,27M 7S
43,54,26M 25S
43,56,26M 0S
43,58,25M 30S
43,60,25M 29S
43,61,25M 29S
45,61,25M 4S
45,63,24M 51S
48,63,24M 42S
50,63,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,65,23M 29S
50,66,23M 9S
53,66,22M 49S
53,68,22M 36S
53,71,22M 13S
53,72,22M 11S
55,72,22M 0S
57,72,21M 22S
57,74,21M 2S
58,74,20M 18S
59,74,20M 18S
59,77,19M 46S
62,77,19M 22S
62,79,19M 12S
62,82,18M 38S
64,82,18M 19S
67,82,17M 44S
70,82,17M 15S
71,82,16M 35S
71,84,15M 53S
74,84,15M 38S
76,84,15M 11S
76,86,14M 17S
78,86,13M 39S
78,89,13M 21S
81,89,12M 47S
81,90,12M 36S
81,91,12M 25S
81,92,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,94,11M 48S
81,96,11M 5S
84,96,10M 37S
86,96,9M 42S
86,98,9M 24S
86,99,8M 58S
86,100,8M 58S
87,100,8M 31S
88,100,8M 31S
88,102,8M 10S
91,102,7M 48S
91,104,7M 24S
94,104,7M 11S
94,106,6M 44S
94,109,6M 17S
95,109,6M 6S
96,109,5M 58S
97,109,5M 58S
Jump ball: Z. Williamson vs. J. Tate (Z. Williamson gains possession),NA,5M 4S
97,112,4M 55S
99,112,4M 37S
99,115,4M 23S
99,117,3M 47S
99,120,3M 16S
101,120,2M 58S
101,122,2M 38S
101,124,2M 6S
101,126,1M 34S
101,127,1M 24S
101,128,1M 24S
101,129,37S
101,130,37S
End of 4th quarter,NA,0S
