Oklahoma City,Milwaukee,time_rem
11-18,17-13,48M 0S
0,0,47M 42S
0,2,47M 27S
3,2,46M 3S
3,4,45M 41S
3,7,44M 59S
5,7,44M 46S
8,7,44M 17S
11,7,43M 39S
11,8,42M 42S
11,10,41M 6S
14,10,40M 49S
14,12,40M 27S
14,14,39M 41S
14,16,39M 3S
16,16,37M 8S
17,16,36M 41S
18,16,36M 41S
20,16,36M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,17,35M 40S
20,18,35M 40S
20,20,35M 2S
20,21,34M 24S
20,22,34M 24S
22,22,34M 12S
22,24,34M 1S
24,24,33M 37S
24,27,33M 20S
24,29,32M 25S
26,29,31M 58S
26,32,31M 30S
29,32,29M 15S
32,32,28M 9S
32,35,27M 47S
34,35,27M 12S
34,37,26M 54S
37,37,26M 42S
37,40,26M 20S
40,40,25M 56S
40,42,25M 45S
42,42,25M 33S
42,44,25M 9S
42,45,25M 9S
42,46,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,48,23M 46S
42,51,23M 10S
42,53,22M 39S
42,56,22M 4S
42,58,21M 11S
42,59,20M 20S
42,60,20M 20S
43,60,20M 7S
44,60,20M 7S
44,62,19M 24S
45,62,18M 45S
45,64,18M 11S
46,64,18M 2S
47,64,18M 2S
47,67,17M 16S
47,69,16M 54S
49,69,16M 31S
51,69,15M 42S
51,72,14M 18S
52,72,14M 9S
52,74,13M 43S
54,74,13M 21S
55,74,13M 21S
55,76,13M 1S
57,76,12M 52S
57,77,12M 40S
57,78,12M 40S
59,78,12M 32S
62,78,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
64,78,11M 46S
64,80,11M 27S
66,80,10M 42S
68,80,9M 27S
Jump ball: G. Antetokounmpo vs. H. Diallo (P. Connaughton gains possession),NA,7M 28S
Jump ball: T. Maledon vs. B. Lopez (H. Diallo gains possession),NA,7M 22S
70,80,7M 9S
70,81,6M 55S
73,81,6M 41S
Jump ball: G. Antetokounmpo vs. K. Williams (B. Lopez gains possession),NA,6M 21S
73,83,6M 20S
75,83,6M 4S
76,83,5M 26S
76,86,5M 8S
76,88,4M 39S
76,90,3M 54S
78,90,3M 47S
79,90,3M 47S
79,91,3M 31S
79,92,3M 31S
82,92,3M 20S
82,95,2M 14S
82,96,1M 8S
85,96,49S
85,97,36S
85,98,36S
End of 4th quarter,NA,0S
