Denver,Portland,time_rem
47-25,42-30,48M 0S
0,0,47M 45S
0,1,47M 45S
0,2,47M 45S
0,5,46M 27S
0,8,46M 7S
0,11,45M 32S
3,11,45M 5S
3,14,44M 54S
5,14,44M 41S
6,14,44M 41S
6,17,44M 30S
6,18,44M 9S
6,19,44M 9S
8,19,43M 51S
10,19,43M 6S
10,21,42M 45S
12,21,42M 32S
12,23,41M 43S
12,25,41M 23S
12,27,41M 0S
14,27,40M 47S
14,30,40M 27S
17,30,40M 9S
17,32,39M 53S
17,35,39M 27S
17,37,38M 40S
19,37,38M 4S
20,37,38M 4S
20,40,37M 52S
22,40,37M 37S
22,43,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,43,35M 47S
24,43,35M 47S
24,45,35M 32S
26,45,35M 13S
26,46,34M 53S
26,47,34M 53S
26,50,34M 25S
Jump ball: P. Millsap vs. C. Anthony (M. Morris gains possession),NA,33M 48S
29,50,33M 38S
29,52,33M 20S
31,52,33M 1S
31,53,31M 50S
31,54,31M 50S
34,54,31M 31S
36,54,30M 58S
36,56,30M 43S
36,57,30M 43S
38,57,30M 29S
38,58,30M 1S
38,59,30M 1S
40,59,29M 37S
40,61,29M 25S
40,63,28M 44S
43,63,27M 53S
43,65,27M 7S
44,65,26M 46S
47,65,26M 33S
49,65,26M 1S
49,67,25M 43S
51,67,25M 34S
51,69,25M 20S
53,69,25M 3S
53,70,24M 54S
53,71,24M 54S
54,71,24M 48S
55,71,24M 48S
55,72,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,72,23M 17S
58,74,22M 56S
58,77,22M 31S
59,77,22M 7S
60,77,22M 7S
60,79,21M 18S
60,80,21M 18S
62,80,20M 54S
62,83,20M 35S
64,83,20M 1S
67,83,19M 39S
67,86,19M 14S
70,86,18M 51S
72,86,18M 22S
72,89,17M 41S
74,89,17M 27S
74,92,17M 2S
74,95,16M 29S
76,95,16M 13S
76,98,15M 54S
79,98,15M 43S
79,101,15M 1S
81,101,14M 35S
81,103,14M 5S
81,105,13M 42S
81,106,13M 42S
84,106,12M 44S
84,107,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,109,11M 38S
84,111,10M 58S
86,111,10M 16S
88,111,8M 34S
88,113,8M 12S
90,113,7M 54S
92,113,7M 25S
92,114,7M 7S
92,115,7M 7S
94,115,6M 51S
94,117,6M 34S
94,118,6M 34S
95,118,6M 16S
95,119,5M 50S
95,120,5M 50S
95,122,5M 29S
97,122,4M 48S
99,122,4M 21S
100,122,4M 21S
100,124,4M 4S
102,124,3M 45S
105,124,3M 18S
106,124,2M 55S
107,124,2M 55S
108,124,2M 55S
108,126,2M 42S
111,126,1M 40S
111,128,1M 28S
111,130,1M 13S
114,130,1M 4S
114,132,36S
116,132,29S
End of 4th quarter,NA,0S
