Washington,Brooklyn,time_rem
2-5,3-4,48M 0S
0,0,47M 41S
0,3,47M 20S
3,3,47M 4S
3,4,46M 32S
3,5,46M 32S
5,5,46M 0S
7,5,45M 23S
Jump ball: K. Irving vs. R. Westbrook (J. Harris gains possession),NA,44M 47S
9,5,44M 20S
9,7,43M 47S
9,10,43M 29S
10,10,43M 14S
11,10,43M 14S
13,10,42M 50S
13,12,42M 40S
15,12,42M 25S
15,14,42M 12S
15,15,41M 40S
15,16,41M 10S
15,17,41M 10S
17,17,41M 2S
17,20,40M 52S
19,20,40M 37S
20,20,40M 37S
23,20,40M 18S
23,22,40M 2S
23,23,39M 24S
25,23,39M 3S
28,23,38M 4S
28,24,37M 41S
28,25,37M 41S
28,28,36M 59S
29,28,36M 51S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,28,35M 43S
35,28,35M 29S
37,28,35M 11S
40,28,34M 45S
40,30,34M 27S
40,31,34M 27S
41,31,33M 55S
41,34,33M 37S
43,34,33M 21S
43,35,33M 11S
43,36,33M 11S
46,36,33M 3S
46,37,32M 21S
46,38,32M 21S
47,38,32M 8S
49,38,31M 33S
49,41,31M 22S
49,43,31M 5S
50,43,30M 50S
50,46,30M 40S
50,48,30M 4S
53,48,29M 48S
53,50,29M 35S
54,50,29M 22S
55,50,29M 22S
55,52,29M 13S
55,55,28M 51S
56,55,28M 43S
57,55,28M 43S
59,55,28M 17S
61,55,27M 40S
61,58,27M 27S
63,58,27M 9S
63,59,26M 36S
63,60,26M 36S
63,62,26M 18S
66,62,26M 3S
66,64,25M 50S
67,64,25M 34S
68,64,25M 34S
68,66,24M 58S
68,67,24M 58S
68,69,24M 38S
68,71,24M 22S
69,71,24M 4S
70,71,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
72,71,23M 38S
72,74,23M 24S
74,74,22M 0S
74,77,21M 38S
76,77,21M 12S
76,80,20M 51S
78,80,20M 13S
80,80,19M 38S
80,82,18M 26S
Jump ball: K. Irving vs. B. Beal (T. Luwawu,Cabarrot gains possession),18M 15S
80,84,18M 9S
80,85,18M 9S
83,85,18M 1S
85,85,17M 34S
86,85,17M 34S
88,85,17M 8S
88,86,16M 47S
88,87,16M 47S
89,87,16M 19S
90,87,16M 19S
92,87,15M 44S
94,87,15M 3S
94,89,14M 52S
94,91,12M 46S
94,92,12M 28S
94,93,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,95,11M 45S
96,95,11M 27S
96,96,11M 11S
96,97,11M 11S
98,97,10M 54S
98,99,10M 39S
99,99,9M 52S
101,99,8M 54S
102,99,8M 35S
103,99,8M 35S
103,101,7M 56S
104,101,7M 45S
107,101,7M 18S
107,103,6M 58S
109,103,6M 24S
109,105,6M 11S
109,106,5M 39S
109,107,5M 39S
110,107,5M 27S
111,107,5M 27S
111,109,5M 7S
111,112,4M 50S
111,114,4M 29S
114,114,4M 6S
116,114,3M 40S
118,114,3M 10S
118,117,2M 33S
118,118,1M 56S
118,119,1M 56S
119,119,1M 39S
119,120,1M 21S
121,120,1M 10S
121,122,28S
123,122,14S
End of 4th quarter,NA,0S
