Miami,Houston,time_rem
11-14,11-14,48M 0S
0,3,47M 44S
3,3,47M 20S
3,5,46M 23S
6,5,46M 10S
9,5,45M 45S
Jump ball: V. Oladipo vs. K. Nunn (J. Wall gains possession),NA,45M 29S
9,7,44M 46S
9,9,44M 23S
9,11,43M 31S
9,12,43M 0S
9,14,42M 49S
9,17,41M 32S
11,17,41M 21S
11,18,41M 6S
11,19,41M 6S
13,19,40M 54S
13,22,40M 6S
13,24,39M 3S
13,25,38M 26S
13,26,38M 26S
14,26,38M 16S
15,26,38M 16S
17,26,37M 45S
17,29,37M 35S
18,29,36M 27S
19,29,36M 27S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
19,31,35M 22S
21,31,34M 57S
23,31,34M 25S
23,34,33M 12S
25,34,32M 54S
25,35,31M 38S
26,35,31M 26S
27,35,31M 26S
29,35,31M 4S
29,37,30M 47S
31,37,30M 24S
32,37,30M 24S
34,37,29M 50S
34,38,29M 11S
34,41,28M 37S
34,44,28M 10S
36,44,27M 17S
38,44,26M 39S
38,46,26M 28S
41,46,26M 11S
41,49,25M 28S
41,50,25M 28S
42,50,25M 18S
43,50,25M 18S
44,50,24M 49S
45,50,24M 49S
46,50,24M 31S
47,50,24M 31S
47,53,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
50,53,23M 29S
53,53,22M 1S
56,53,21M 21S
56,54,21M 6S
56,55,21M 6S
58,55,20M 43S
58,57,19M 59S
58,59,19M 8S
61,59,18M 27S
64,59,17M 14S
66,59,16M 32S
67,59,15M 59S
70,59,15M 35S
70,61,15M 19S
73,61,14M 45S
75,61,14M 3S
75,63,13M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
77,63,11M 5S
77,66,10M 53S
80,66,10M 30S
80,68,9M 45S
80,70,8M 55S
82,70,8M 37S
85,70,7M 53S
85,72,7M 12S
85,73,6M 29S
85,74,6M 29S
88,74,6M 13S
88,77,5M 56S
88,80,5M 23S
90,80,5M 2S
90,83,4M 43S
92,83,4M 28S
95,83,4M 4S
95,85,3M 50S
97,85,3M 35S
97,88,2M 39S
97,89,2M 17S
97,90,1M 33S
97,91,1M 33S
97,94,50S
98,94,10S
99,94,10S
100,94,5S
101,94,5S
End of 4th quarter,NA,0S
